,Product,Rating,Title,Review
0,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,Amazing!,I recommend this to everyone o have 3C/4A hair thats pretty wild and this is one of 2 products I use! I love the cake line!
1,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,3.0 out of 5 stars,It's not for me,"Last two pictures are when it pretty much dried, after the second attempt. I just received this yesterday, used a natural shampoo and conditioner. It smells great, very sticky, made my hair look shiny/greasy, my hair feels and looks dry, soft, greasy and crisp. It didn't do anything for my waves, that I can't do by just scrunching my hair without products. I'm definitely going with a spray.My hair is long, fine, naturally curls when wet, frizzes and still has waves on average."
2,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,4.0 out of 5 stars,Wonderful sweet bouncy curls!,"Great curl cream for a light definition and wonderful sweet smell. I use this everyday I want bouncy airy curls. Best for AIR DRY- if you must blow dry, ONLY dry your roots for the cream to work to define curls. I held back one star just because my cheaper go-to curl cream by Tresemme is better at defining my curls, but it does not smell as wonderful as Cake. I may try mixing them together 😁"
3,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,1.0 out of 5 stars,Not for me...,"Love the scent but that’s where it ends.  It’s really sticky and just weighed down my fine, curly, locks!  Nice product but did nothing but make hair feel heavy, sticky and straightened out.  I expected the opposite.  Perhaps not for fine, curly hair."
4,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,My curls are back!!,With the pandemic and the lack of haircuts I rediscovered my curly hair. I did have a reversed angle Bob for the past three and a half years. As my hair grew out over months before my beautician opened back up I saw my curly hair. So I've had two haircuts since then and now my curls look excellent. I love cake body products so I thought I'd try this curl cream. It works great for me makes a huge difference in the amount and shape of my curls. Never knew I had curly hair till I turned 40. I'll be 54 next week and rocking my curls again!
5,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,Cake 🍰  cake 🎂cake 🧁,"First, it smells Devine, but because I have a lot of hair, it takes a good bit; A “healthy dollop” if you will.  It left my hair feeling soft and didn’t weigh down my curls  But allowed them to have some great Length. I will buy again at this price ( I typically purchase miss Jessie’s pillow-soft curls, but every time it’s like a dollar More each time )."
6,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,Great value for the cost,"This is the most reasonable priced curly hair product I've found. I originally got a little tube from my ipsy order, and I liked it so much, I came to Amazon to order a full-sized bottle.It doesn't make my hair crunchy or greasy, even if I accidentally put too much on. My curls look natural and bouncy after using my diffuser, and even when I let hair air dry, this gives my curls a little extra form and structure to look like I actually did something to my hair."
7,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,1.0 out of 5 stars,Maybe I Got a Bad Batch?,"First, I have to clarify that this review is more aimed at the version of this product that I bought from Amazon, not the curl cream in general (which I love and give five stars to all across the board; my curls love Cake’s The Curl Friend).So, usually I get Cake’s products directly from a local store, but when I saw Amazon was carrying their products, I decided to give it a shot. The scent of Cake’s The Curl Friend is usually so pleasant and sweet. Exactly like cake, lol. I *love* it.But after trying the version of this product I purchased from Amazon (twice to be sure), I can confirm that it has a weird fishy smell to it that is NOT typical for any of Cake’s products I have used in the past. It’s strong and very unpleasant.I will be returning this to Amazon and going back to my local store to get more The Curl Friend. After receiving a tampered-with version of Cake’s The Thick Trick a few days ago (I had my old bottle to compare it to, thank goodness, and Amazon did immediately send me a replacement bottle that was very clearly *not* tampered with, to their credit), I’ve learned my lesson. Will stick to local stores for Cake products now. 😅I don’t know if this is a regular occurrence with Amazon and Cake’s products—this could very well be an anomaly and I just got a bad batch—but I figured I’d share just so people can be aware and keep an eye out on their own Cake purchases from Amazon in the future.On a happier note, I do highly recommend The Curl Friend itself if you have curly hair and are on the fence. It’s helped take the frizz from my dry curls and add some moisture and definition, and it hasn’t weighed my curls down, either. Also, again—the scent IS usually the best, light and sweet."
8,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,"How to really style curly hair, ok ?!","First off- too many reviews about the “bad scent”. The smell of a product is subjective. The scent smells slightly like bubble gum and light cinnamon mixed. So if ya like that- great. If not- move along to another product.Second - I think too many don’t understand how to really apply product and care for curly hair.I bought the shampoo, conditioner, and styling cream set. My hair gets used to products and I have to switch up occasionally. This is my switch up product. Upon first use, my hair is extremely soft, shiny, flexible and bouncy.Assuming you know how to shampoo and condition your own hair lol let’s skip to the styling cream. It should not leave your hair sticky, stringy, straw like, greasy etc. If It does you are using it incorrectly. I prefer to apply to my hair upside down but that’s up to you. Firstly, when you get out of the shower gently remove some excess water with your hands by cupping your hair in hands from the bottom and pushing up. Do this several times until you have removed about 20% of the dripping water from your hair. Don’t soak up 90% of the water from your hair by wrapping it in your terry cloth towel. Then, put a dime size amount of product in your hands and rub then together to spread the product around. Now gently pat the product through your your strands, in sections. We’re not trying to flatten our hair between our hands pulling down here. The point of leaving water in your hair for this step is to let the product and water in your hair mix some and soak into your hair. Get dressed, walk around a few minutes, brush your teeth or whatever to give it a few minutes. Now here’s the best step- don’t scrunch your hair with a towel. Grab an old t shirt and scrunch your hair to now absorb the water out. Air dry or diffuse from here. Also, STOP touching your hair while it’s wet and even damp. Let it dry completely. My blow dryer recently took a poop so I wish I could test diffusing because my hair comes out completely different. But air drying came out great like I would expect."
9,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,"Works great, smell isn't strong at all","Since I'm absolutely crazy about anything smelly (good smelly not bad smelly) and that was really the biggest appeal for me when I chose to try this product that's where I'll begin. The first thing I did was open the tube up and took a big whiff and I immediately smelled.. Nothing. I sniffed a few more times than used it after my shower and than I came on Amazon to make sure I hadn't ordered the one product in the cake line that just so happened to be Short story long😉it's not fragrance free so I than went and squeezed a big glob out and sure enough I could smell it.. Sort of. So yes it has a good smell but no it's not even close to overpowering.  In regards to how well it works I'd sa in still glad I bought it. I love the fact that it can be used on dry hair as well which eliminates the need to buy another product for touch ups or next day hair. I've included some pictures and they were all taken after having my hair up in a bun. The first one is a few hours after washing and the other two are the next day. I also showed the amount I use which is not alot. It leaves my curls soft and really maintains them for a long time with very little if any frizz. The only thing I've noticed is my hair seems to get a slightly oily look as the day goes on. I'm not sure if this stuff has any claim to make hair shiny because the oiliness is just a step beyond that look.  Anywho, it's a decent product and works well right after washing hair as well as for touch ups or between washes."
10,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,AMAZING FOR FINE CURLY HAIR,"I absolutely love this product. I have fine, curly, 3b hair. I use my fingers to comb a tiny amount of this product into my hair after showering or rinsing my hair in the sink (on non-wash days)— and it’s keeps my curls glossy, bouncy, and full. I AM AMAZED by how well this product works. After using the product and sleeping on my curls, I will wake up with fully intact curls. I was skeptical, yet this product turned out to be one of my favorites. The scent is really sweet, but it isn’t too overpowering. My boyfriend complements the way it smells."
11,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,Perfect!,"My hair is bleached and dyed. I've tried my best to keep it in good condition--bleaching usually destroys my curl and makes my hair brittle, dry and crunchy. Between using oil-laden bleaching products and Olaplex no.0, I've retained my curl but my hair does tangle more than usual, probably because it did get dry still. I've been using a boar bristle brush to distribute my natural oils and it has helped (also to reduce the oiliness of my scalp), but I needed something more. I've been looking for a curl activator to give my curls some more life and found this one here on Amazon. So I decided to give it a try because of the great reviews.So, it really does smell like cake. Wow! I like that more than I thought I would. A little goes a long way. The results are exactly what I want. Soft, bouncy curls so it feels perfectly natural. There's no greasy feeling or residue, and I'm OCD so it wouldn't get past me if it had any. So I couldn't keep my hands out of my hair after blow drying.The first pic is immediately after drying. The second pic is 5 days later, with no extra products. I would say it's a little more wavy than usual at this point, more shiny, less dry and less tangled. I couldn't love this product more and will keep buying it as long as it works this well! (Or better. Is that even possible?)(My hair color is Arctic Fox Electric Paradise. It's UV reactive so it looks a bit different in color based on the light.)"
12,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,3.0 out of 5 stars,"If you have fine, frizzy, wavy hair, don't use too much.....","Though they advertise this product as ""feather light,"" it totally isn't. I have fine wavy hair and I'm always looking for light cream products because they're the only thing that works on my hair. This product made my hair shiny, which is nice, but I had to work the crunch out with my fingers before I could get that effect. Also, it added virtually no wave or curl at all. It's probably good for women with thicker, curlier hair, but it's not ideal for my hair type.UPDATE: I've since used this as a supplemental product along with Not Your Mother's Curl Talk Curl Foam, which is my main styling product. The foam is intended as a second-day product, but my hair is so fine and given to frizz that I need an ultra light styling product, which is what the foam is. However, it's not quite enough to stop the frizz, which has been a struggle. So one day, I tried adding just a tiny, teensy amount of Cake--just a dab--by spreading it evenly on my hands and lightly spreading it around (after the foam), then drying it with a diffuser. It has worked great so far! It's also an excellent second-day product, but again, I have to use the smallest amount or else it gets all crunchy and stiff."
13,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,Not the real stuff - DISAPPOINTED,"I hate writing a bad review, but this is NOT what I buy in the store.  I use this product all of the time. The Cake products are my ""go to"" for my curls. as I LOVE the ""normal"" Cake products that I buy from Walgreens, although this is NOT it.  I bought this 2 months ago, but already had some, so I am just now opening it.  Absolutely disappointed and now I cannot return it (my fault for not immediately trying it).  The consistency is off, it is a lot thinner than what I buy at the store and made my hair greasy (as well as my daughters).  The smell is also not the same, somewhat close, but it's not the norm.I attached a photo.  Store bought product on LEFT, this purchase on RIGHT.  Right is almost Opaque.  Will not order it again.Sad. Reviews were good and maybe good for others that have not used the real stuff.  Buy the real deal. Hug fan and use it on a regular basis."
14,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,It smells fabulous and is very lightweight,"I am super excited that I found this product. It smells like a lemon cake and makes your hair smell so yummy.I have wavy/curly hair and it works perfectly on my do. It keeps the frizzies down and can be used in damp hair prior to blow drying or....it can be used on dry hair to give it a little bounce and hold.I never run out of my Cake Beauty Curl Friend cream. I make sure I have 2 bottles of it at all times.I love using it and I love the way it makes my hair look and smell.Its perfect for short-medium hair styles. It may even help if  you have straight and fine hair as well.It holds nicely and is not sticky at all.Bottom Line: Smells fantastic, not sticky, kills frizzies, can be used on both wet hair as a curl enhancer or on dry hair as a styling cream. Either way...you cannot go wrong. The price is really nice as well. It performs as well as the higher priced products but has the lower end price tag."
15,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,3.0 out of 5 stars,Scent is unbearable,"I bought this item specifically for the scent - to be honest, I could have cared less if it left my hair less than amazing, as long as if it created a fun shower experience that smelled like cake. Unfortunately this did anything but, and I should have listened to the reviews that mentioned the bad smell. The full trifecta of products did leave my curls in fairly decent shape (I’ll credit that to the argan oil that is included in the shampoo and conditioner), but the smell of the shampoo and conditioner combined creates a rather noxious olfactory experience that isn’t worth the mild benefits of the product. I am fairly sensitive to scent, and unfortunately the rather rancid bubblegum + cinnamon combination has made me throw this down the drain. Save your money if you have a sensitive nose."
16,Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,Your Curls Will Thank You,"I didn’t expect much from this product at first but was pleasantly surprised when I found a great way to cocktail this for my curls. For reference, I have 3C/4A curls and not many products can hydrate and give my hair what it needs. I learned that using this product as a styler didn’t do much, it left my hair frizzy but combining it with my favorite gel managed to give my hair shine and hold for days. This product hydrates my hair and works great when layered with a wash and go. Not as much tangles or fairy knots when using this styler before applying gel. Would recommend if you need a product that can function as a leave-in and styler when you need gel for hold."
