,Product,Rating,Title,Review
0,"Carol’s Daughter Black Vanilla Moisture & Shine Leave In Conditioner for Dry Hair and Dull Hair, with Aloe, Vitamin B5 and Wheat Protein, 8 fl oz",4.0 out of 5 stars,So much VOLUME,I DONT like this product but it’s just because of my hair type. I avoid the word volume like the plague because my hair already has a lot of volume. I ordered this because I didn’t see anything about volume on the package or in the product description and it SMELLS AMAZING!! But it makes my hair have an insane amount of volume so I can’t use it. Tried it on my 3 year olds hair and got the same result even tho I’ve never had an issue with too much volume in her hair before. Wanted to leave a review so you can order according to your hair type
1,"Carol’s Daughter Black Vanilla Moisture & Shine Leave In Conditioner for Dry Hair and Dull Hair, with Aloe, Vitamin B5 and Wheat Protein, 8 fl oz",4.0 out of 5 stars,I like this leave in conditioner,"I like this leave in conditioner, but it runs out quite fast for me - I have a hard time gauging quanitity with a spray leave-in conditioner.But it smells fantastic. And it is very light, maybe a little too light, because it's hard to know when you've used too much. It doesn't build up at all, doesn't harden, it just kind of makes your hair a little curlier (as a 2C/3A curly girl). And on a bad curly hair day, it's hard to know if it's doing anything at all, I hate to admit. It's nice, but I prefer to use it in conjunction with other leave in conditioners, or to use it as a refresher spray on damp 2nd day hair. I think it's a little too expensive for me to buy again, especially since it's a product that left me feeling only lukewarm, but it is a good price to buy as a refresher spray."
2,"Carol’s Daughter Black Vanilla Moisture & Shine Leave In Conditioner for Dry Hair and Dull Hair, with Aloe, Vitamin B5 and Wheat Protein, 8 fl oz",5.0 out of 5 stars,The smell is Heavenly; leaves my biracial daughter’s curls detangled moisturized soft & never crispy,"I love that I can get Carol’s Daughter on Amazon. I knew the maker of these products when she was making them in her kitchen in Brooklyn. The scent is Heavenly! Ingredients are all natural. I have used Carol’s Daughter products since my own daughter was a newborn, and she is now a Freshman in college! She is mixed race, and this product leaves her curls moisturized and detangled, but not weighed down or greasy. Her curls dry soft and never crispy after her hair air dries. This smell will always remind me of my baby!"
3,"Carol’s Daughter Black Vanilla Moisture & Shine Leave In Conditioner for Dry Hair and Dull Hair, with Aloe, Vitamin B5 and Wheat Protein, 8 fl oz",1.0 out of 5 stars,I like to use my leave in conditioner as a refresher,"I like to use my leave in conditioner as a refresher, but this makes my hair feel dry and crunchy. My hair felt wirey and rough. It smells nice though."
4,"Carol’s Daughter Black Vanilla Moisture & Shine Leave In Conditioner for Dry Hair and Dull Hair, with Aloe, Vitamin B5 and Wheat Protein, 8 fl oz",1.0 out of 5 stars,"Not for me, hair like hay after use",Unfortunately this did not work for me.  I’m African American with relaxed hair.  I was looking for something to use while all the beauty shops were closed due to the corona virus. I had picked up the shampoo version of this product at Target.The combination dried out my hair to the point it felt like straw or hay.  I try using more of this product.  I tried using less and nothing worked.  I still had the same outcome.  I had nothing else in the house to use but this & the matching shampoo so u used it.Please note my hair is typically soft and bouncy.
5,"Carol’s Daughter Black Vanilla Moisture & Shine Leave In Conditioner for Dry Hair and Dull Hair, with Aloe, Vitamin B5 and Wheat Protein, 8 fl oz",5.0 out of 5 stars,Adds Shine and Manageability,"I recently cut my hair and my texture changed and I had issues with finding products that would keep my hair moisturized. It promotes the definition of my curls, and shine and allows for great manageability. It also has a great smell. I use this in collaboration with the black vanilla shampoo, conditioner and Comb through creme. Right after I wash and apply the creme I spray this over my hair and do a last comb through and it adds that extra shine. I use this daily to refresh my hair as well. It has given me amazing results."
6,"Carol’s Daughter Black Vanilla Moisture & Shine Leave In Conditioner for Dry Hair and Dull Hair, with Aloe, Vitamin B5 and Wheat Protein, 8 fl oz",2.0 out of 5 stars,Dries hair more,"I love the smell of it which is why I'll give it 2 stars, but it didn't help my hair. My curls got stiff and dry. The texture turned straw-like. I don't use any heat tools including blow drying. i let my hair air dry because I'm trying to grow it out. I tried using it in both damp and dry hair, but it always looked like I soaked my hair in sugar water. I wouldn't buy this again."
7,"Carol’s Daughter Black Vanilla Moisture & Shine Leave In Conditioner for Dry Hair and Dull Hair, with Aloe, Vitamin B5 and Wheat Protein, 8 fl oz",5.0 out of 5 stars,Liquid gold - CG APPROVED,"I am not into complicated routines. I subscribe to the Curly Girl Method but I keep it simple and cheap. I use sauve essentials or tresemme botanique as a co wash but eventually I found that my hair was dull and dry, (but still better than it was with any other routine). I finally gave in and found this CGM approved leave-in conditioner for a boost of moisture. I now have the perfect routine for my hair! I honestly did not expect it to be this good. I've tried so many leave-in conditioners and they usually make my hair look really greasy or they weigh it down, ruining my curls. This is like pure lightweight silk on my hair. I found that the overall poofiness/volume of my hair did decrease somewhat after I applied it but that is only because I had so much frizz and this took care of all the frizz. I added a few sprays on each side of my head while I was still in the shower with shopping wet hair and squeezed it in (""squish to condish"") after co washing with my usual conditioner (the cheap one) and this product provided all the moisture that my hair could ever want. It was instantly super silky and slippery in the shower. If you have tangly hair this would probably help you a lot.Tl;dr -This stuff is liquid gold. Super silky. Tamed my frizz and tangles. CGM APPROVED! With how good this product is, they could honestly charge more (pls don't)Thank you Carol's Daughter for making this awesome product!"
8,"Carol’s Daughter Black Vanilla Moisture & Shine Leave In Conditioner for Dry Hair and Dull Hair, with Aloe, Vitamin B5 and Wheat Protein, 8 fl oz",5.0 out of 5 stars,The best,Beard stays nice and moisturized throughout the day. Great Buy
9,"Carol’s Daughter Black Vanilla Moisture & Shine Leave In Conditioner for Dry Hair and Dull Hair, with Aloe, Vitamin B5 and Wheat Protein, 8 fl oz",2.0 out of 5 stars,Not satisfied with product,Hi I have very thick hair and it tends to be a little dry at times. I ordered this product because I'm always open to trying new things on my hair. It did absolutely nothing for my hair. As a matter of fact it made my hair feel crispy.  Maybe others have had positive results after using this product but not me. Also the scent is very over powering. It is like strong vanilla overload.
