,Product,Rating,Title,Review
0,"Carol’s Daughter Coco Creme Curl Quenching Deep Moisture Hair Mask for Very Dry Hair, with Coconut Oil and Mango Butter, Hair Mask for Curly Hair, 12 oz",VINE VOICE,1.0 out of 5 stars,"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:07Loaded: 31.67%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:07 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedAudio TrackFullscreenThis is a modal window.



   I've tried other products from Carol's Daughter that never seemed to work well on my 4c hair, even after washing a bunch of HSN segments. I've compared this to other top-rated brands (TGIN, Maui, Aunt Jackie) and this product is definitely all hyped when it comes to true kinky 4-type coily hair.Disclaimer: I have color-treated (bleached) 4c hair that's very thick, dry, damaged, and easily turns into a kinky fro.💁🏾‍♀️ ABOUT THE PRODUCT'S FORMULA→ Product's Thickness: Very Thick.→ Product's Creaminess: Creamy like a thick whipped butter.→ Product's Scent: VERY VERY STRONG scent (like Men's cologne)→ Has obvious oil contents: No (more like a serum feel)💁🏾‍♀️ INITIAL APPLICATION / PRODUCT APPLIED ON HAIR:→ Weightiness on Hair Wet: very heavy→ The weightiness of Dried Hair: very heavy, weighs down as if you're hair is drenched in water.→ Stickiness on Hair: very sticky→ Water needed to detangle: Not a detangler, more of a styling product.💁🏾‍♀️ STYLING / APPLICATION:→ Best for dry hair (for styling): Yes, but it makes your hair have a ""wet"" look (but not in a curl defining way)→ Best for wet hair (as a base): Maybe, since it's so heavy (I tried on damp and fully dry hair). I felt like this would work better as a rinse out product.→ A lot of product needed on dry hair: Yes.→ A lot of product needed on wet hair: Yes, on damp hair since it's more of a whipped product than a cream.→ Adds Curl Definition: None.→ Adds Volume: No, weighs it down.→ Moisturizes when dry: No, it leaves hair feeling sticky and heavy.→ Dries down and keeps moisture: No.→ Does product sit on to of hair: Yes, this product feels like it coats the hair (laying on top of it) but the hair never absorbs it.→ Does product soften hair (when dry): No, it just makes it feel like wet hair. It bunches your hair up and doesn't help to separate your curls.💁🏾‍♀️ PRODUCT DUPES AND/OR SIMILARITIES→ This product reminds me of brands like Cantu, creme of nature, dark and lovely, more of the popular drugstore brands targets to WOC. The products that smell really good (and too strong) but don't really work the best for 4c hair.OVERALL/FINAL THOUGHTS→ I would NOT recommend this product for thick, coarse, coily, 4c hair because it weighs it down too much and leaves a sticky residue. This product doesn't feel moisturizing, doesn't add much slip to help with detangling, and it's a product that doesn't absorb well into my 4c hair. This product would be better for other wavy or straighter hair types who can stand the strong scent and desire heavyweight products. I would recommend tgin Miracle RepaiRx Curl Food Daily Moisturizer (link: https://www.amazon.com/Miracle-RepaiRx-Daily-Moisturizer-Natural/dp/B07K6TWB9D) for an everyday moisturizer as its simply the best for 4c hair. I hope this detailed review really helps :)"
1,"Carol’s Daughter Coco Creme Curl Quenching Deep Moisture Hair Mask for Very Dry Hair, with Coconut Oil and Mango Butter, Hair Mask for Curly Hair, 12 oz",1.0 out of 5 stars,Not for me,"I have thick, wavy, coarse, frizzy hair and this product didnt do anything for me. It felt like glue, sticky, thick and weighed my hair down. I tried it with damp hair & dry hair for a week hoping for a different result but no, I guess it just doesnt work with my hair type."
2,"Carol’s Daughter Coco Creme Curl Quenching Deep Moisture Hair Mask for Very Dry Hair, with Coconut Oil and Mango Butter, Hair Mask for Curly Hair, 12 oz",5.0 out of 5 stars,My new favorite!!,"It's AMAZING!! It is so slippery that the tiniest twirl of your fingers encourages immediate curls! It literally cut my styling time by 1 1/2 hours doing my finger twists. My style held strong for three days before finally getting frizzy, and even then it still didn't look that bad(but I always sleep on silk pillow sheets and that helps alot). Hair is incredibly soft and light. The one thing you'll notice though when you take a shower is that wherever your hair had contact with (shoulders, neck, face) will feel super slippery like soap when washing off. On the positive, it reactivates immediately with water so it's almost like you don't need conditioner when detangling so that's a big plus! This is hands on my new go to leave in/ styling product. Will buy again."
3,"Carol’s Daughter Coco Creme Curl Quenching Deep Moisture Hair Mask for Very Dry Hair, with Coconut Oil and Mango Butter, Hair Mask for Curly Hair, 12 oz",5.0 out of 5 stars,1 product  Serious curl definition,Very great product for naturals the best I’ve ever tried.
4,"Carol’s Daughter Coco Creme Curl Quenching Deep Moisture Hair Mask for Very Dry Hair, with Coconut Oil and Mango Butter, Hair Mask for Curly Hair, 12 oz",5.0 out of 5 stars,It worked! I have bouncy curls now!,"I never thought I could just let my curls air dry and be done, but with this hair mask that is very much possible! I’m so happy with my purchase! I no longer need curl gels or creams after the shower! I just let it air dry and my curls are so bouncy and defined! I’m very pleased with my purchase!I just apply the cream mainly to the bottom half of my hair after my conditioner and let it sit for 5 minutes then rinse!"
5,"Carol’s Daughter Coco Creme Curl Quenching Deep Moisture Hair Mask for Very Dry Hair, with Coconut Oil and Mango Butter, Hair Mask for Curly Hair, 12 oz",1.0 out of 5 stars,ZERO STARS - WORST. SMELL. EVER. And no way to get it out of hair.,I shampooed my hair six times with anothe product and cannot get this horrific smell out of my hair. God help me.
6,"Carol’s Daughter Coco Creme Curl Quenching Deep Moisture Hair Mask for Very Dry Hair, with Coconut Oil and Mango Butter, Hair Mask for Curly Hair, 12 oz",5.0 out of 5 stars,Best Conditioner I've Used,"This is the best conditioner I've found to work with my hair. I have what I believe is 4C hair and it has been very difficult to work with. I've attached a picture of my hair before use (2 weeks after last wash) and I may post an after as an update to this review. This conditioner cut my shower time for my wash day down from approximately 4 hours to about 2 and it leaves my hair soft and moisturized. I use it in conjunction with the Marguerite's Magic restorative cream by Carol's Daughter when I do a twist out and they leave my hair manageable and easy to comb through. I think I might be allergic to the Murumuru seed as, when it got in my eyes or nose when washing in the shower, I became hoarse and couldn't stop sneezing for hours the first time but this has worked so well for me I still intend to use it. On my second use I just needed to be careful not to get it on my face and that technique worked wonders. The benefits outweigh this con as long as I'm careful! Unfortunately this will probably prevent me from using their shampoo but I planned to use texture id on recommendation from a youtube influencer anyway once I finish my stock of shea moisturizer shampoo."
7,"Carol’s Daughter Coco Creme Curl Quenching Deep Moisture Hair Mask for Very Dry Hair, with Coconut Oil and Mango Butter, Hair Mask for Curly Hair, 12 oz",4.0 out of 5 stars,Great for Day 1 styling,"Love the hold, definition, and shine it adds to my hair on day 1. If you are looking for a good product for great day 2+ hair this will become dull, frizzy and hard to refresh. Doesn't become flaky or crusty put once the cast is softened it is hard to get the same results on day 2 or more hair without completely rewetting and reapplying fresh product."
8,"Carol’s Daughter Coco Creme Curl Quenching Deep Moisture Hair Mask for Very Dry Hair, with Coconut Oil and Mango Butter, Hair Mask for Curly Hair, 12 oz",5.0 out of 5 stars,Love this!,"This is now my favorite product. It is now a permanent event in my weekly hair routine. I use it in my LCO method and it leaves my hair so soft when it dries. A little goes a long way so be careful, because it is heavy."
9,"Carol’s Daughter Coco Creme Curl Quenching Deep Moisture Hair Mask for Very Dry Hair, with Coconut Oil and Mango Butter, Hair Mask for Curly Hair, 12 oz",5.0 out of 5 stars,New favorite hair mask (type 3c/4a/4b hair),"The hair mask is AMAZING... im not a fan of the smell and it does linger in your hair (reminds me of the Aveeno lavender baby lotion) ... BUT it has amazing slip, left my hair super soft, and my curls were defined after using so I can’t complain. I have multiple textures and porosities throughout my hair but my hair is mainly 4a, low porosity. Sometimes products dont work in all textures of my hair but this one worked extremely well! This will definitely be a new staple in my routine."
