,Product,Rating,Title,Review
0,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",VINE VOICE,1.0 out of 5 stars,"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:07Loaded: 31.67%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:07 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedAudio TrackFullscreenThis is a modal window.



   I've tried other products from Carol's Daughter that never seemed to work well on my 4c hair, even after washing a bunch of HSN segments. I've compared this to other top-rated brands (TGIN, Maui, Aunt Jackie) and this product is definitely all hyped when it comes to true kinky 4-type coily hair.Disclaimer: I have color-treated (bleached) 4c hair that's very thick, dry, damaged, and easily turns into a kinky fro.💁🏾‍♀️ ABOUT THE PRODUCT'S FORMULA→ Product's Thickness: Very Thick.→ Product's Creaminess: Creamy like a thick whipped butter.→ Product's Scent: VERY VERY STRONG scent (like Men's cologne)→ Has obvious oil contents: No (more like a serum feel)💁🏾‍♀️ INITIAL APPLICATION / PRODUCT APPLIED ON HAIR:→ Weightiness on Hair Wet: very heavy→ The weightiness of Dried Hair: very heavy, weighs down as if you're hair is drenched in water.→ Stickiness on Hair: very sticky→ Water needed to detangle: Not a detangler, more of a styling product.💁🏾‍♀️ STYLING / APPLICATION:→ Best for dry hair (for styling): Yes, but it makes your hair have a ""wet"" look (but not in a curl defining way)→ Best for wet hair (as a base): Maybe, since it's so heavy (I tried on damp and fully dry hair). I felt like this would work better as a rinse out product.→ A lot of product needed on dry hair: Yes.→ A lot of product needed on wet hair: Yes, on damp hair since it's more of a whipped product than a cream.→ Adds Curl Definition: None.→ Adds Volume: No, weighs it down.→ Moisturizes when dry: No, it leaves hair feeling sticky and heavy.→ Dries down and keeps moisture: No.→ Does product sit on to of hair: Yes, this product feels like it coats the hair (laying on top of it) but the hair never absorbs it.→ Does product soften hair (when dry): No, it just makes it feel like wet hair. It bunches your hair up and doesn't help to separate your curls.💁🏾‍♀️ PRODUCT DUPES AND/OR SIMILARITIES→ This product reminds me of brands like Cantu, creme of nature, dark and lovely, more of the popular drugstore brands targets to WOC. The products that smell really good (and too strong) but don't really work the best for 4c hair.OVERALL/FINAL THOUGHTS→ I would NOT recommend this product for thick, coarse, coily, 4c hair because it weighs it down too much and leaves a sticky residue. This product doesn't feel moisturizing, doesn't add much slip to help with detangling, and it's a product that doesn't absorb well into my 4c hair. This product would be better for other wavy or straighter hair types who can stand the strong scent and desire heavyweight products. I would recommend tgin Miracle RepaiRx Curl Food Daily Moisturizer (link: https://www.amazon.com/Miracle-RepaiRx-Daily-Moisturizer-Natural/dp/B07K6TWB9D) for an everyday moisturizer as its simply the best for 4c hair. I hope this detailed review really helps :)"
1,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",1.0 out of 5 stars,Not for me,"I have thick, wavy, coarse, frizzy hair and this product didnt do anything for me. It felt like glue, sticky, thick and weighed my hair down. I tried it with damp hair & dry hair for a week hoping for a different result but no, I guess it just doesnt work with my hair type."
2,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,My new favorite!!,"It's AMAZING!! It is so slippery that the tiniest twirl of your fingers encourages immediate curls! It literally cut my styling time by 1 1/2 hours doing my finger twists. My style held strong for three days before finally getting frizzy, and even then it still didn't look that bad(but I always sleep on silk pillow sheets and that helps alot). Hair is incredibly soft and light. The one thing you'll notice though when you take a shower is that wherever your hair had contact with (shoulders, neck, face) will feel super slippery like soap when washing off. On the positive, it reactivates immediately with water so it's almost like you don't need conditioner when detangling so that's a big plus! This is hands on my new go to leave in/ styling product. Will buy again."
3,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,1 product  Serious curl definition,Very great product for naturals the best I’ve ever tried.
4,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,It worked! I have bouncy curls now!,"I never thought I could just let my curls air dry and be done, but with this hair mask that is very much possible! I’m so happy with my purchase! I no longer need curl gels or creams after the shower! I just let it air dry and my curls are so bouncy and defined! I’m very pleased with my purchase!I just apply the cream mainly to the bottom half of my hair after my conditioner and let it sit for 5 minutes then rinse!"
5,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",1.0 out of 5 stars,ZERO STARS - WORST. SMELL. EVER. And no way to get it out of hair.,I shampooed my hair six times with anothe product and cannot get this horrific smell out of my hair. God help me.
6,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,Best Conditioner I've Used,"This is the best conditioner I've found to work with my hair. I have what I believe is 4C hair and it has been very difficult to work with. I've attached a picture of my hair before use (2 weeks after last wash) and I may post an after as an update to this review. This conditioner cut my shower time for my wash day down from approximately 4 hours to about 2 and it leaves my hair soft and moisturized. I use it in conjunction with the Marguerite's Magic restorative cream by Carol's Daughter when I do a twist out and they leave my hair manageable and easy to comb through. I think I might be allergic to the Murumuru seed as, when it got in my eyes or nose when washing in the shower, I became hoarse and couldn't stop sneezing for hours the first time but this has worked so well for me I still intend to use it. On my second use I just needed to be careful not to get it on my face and that technique worked wonders. The benefits outweigh this con as long as I'm careful! Unfortunately this will probably prevent me from using their shampoo but I planned to use texture id on recommendation from a youtube influencer anyway once I finish my stock of shea moisturizer shampoo."
7,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",4.0 out of 5 stars,Great for Day 1 styling,"Love the hold, definition, and shine it adds to my hair on day 1. If you are looking for a good product for great day 2+ hair this will become dull, frizzy and hard to refresh. Doesn't become flaky or crusty put once the cast is softened it is hard to get the same results on day 2 or more hair without completely rewetting and reapplying fresh product."
8,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,Love this!,"This is now my favorite product. It is now a permanent event in my weekly hair routine. I use it in my LCO method and it leaves my hair so soft when it dries. A little goes a long way so be careful, because it is heavy."
9,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,New favorite hair mask (type 3c/4a/4b hair),"The hair mask is AMAZING... im not a fan of the smell and it does linger in your hair (reminds me of the Aveeno lavender baby lotion) ... BUT it has amazing slip, left my hair super soft, and my curls were defined after using so I can’t complain. I have multiple textures and porosities throughout my hair but my hair is mainly 4a, low porosity. Sometimes products dont work in all textures of my hair but this one worked extremely well! This will definitely be a new staple in my routine."
10,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,This actually works !,"So I have the worst dry hair. Like the worst. When people say don’t use too much it’ll make your hair oily .. I just laugh. Not my hair. I can (and do) use straight oil on my hair. Anyway, I use this product instead of conditioner. I can really tell a difference in the  softness of my hair. It feels softer and healthier. I am for sure a returning customer."
11,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,HOLY GRAIL HAIR PRODUCT,"THE HOLY GRAIL CURLY HAIR PRODUCT, PPL!!Everyone go buy this - and then go back and buy it again for anyone you love. This stuff lasts for days on end, doesn’t leave hair crunchy or frizzy - cost effective and a little bit goes an incredibly long way. I have spiral curls and this goes on great. I’ve bought it for friends with wavy hair and will use it for the rest of my life. Cannot believe i finally found a product that does it all. Get this. You’re welcome."
12,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",3.0 out of 5 stars,Good hold but SUPER flaky,"It has a good hold, but…. You don’t notice all the flakes that develop until you’re wearing a black shirt or lean against something and it looks like it snowed on it. It also does not leave your hair shiny. It creates a dull cast and take a very long time to dry."
13,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",2.0 out of 5 stars,High hopes but didn’t deliver,"I am trying to find something less expensive than Kinky Curls custard. Tried this after spraying with leave-in conditioner and dried with a diffuser. Curls looked fine, but it was very crunchy and crispy and my hair felt ridiculously dry. The only thing i loved about it was the scent.Will try again and just let my hair air-dry, maybe it will be better but I personally cannot recommend this product."
14,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,Amazing product.,I have issues with odors ; My friends know not to come around me with smelly ( perfumes soaps deodorant etc.)  this has a nice clean smell and does not linger.
15,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",3.0 out of 5 stars,Not enough moisture,This curl quenching moisturizer didn’t provide as much moisture as I would have liked. I washed my hair and applied it while wet and it just didn’t seem like enough. I had to apply a pretty generous amount for me to be satisfied with it. I have a weird curl pattern that’s between kinky curly and wavy. Lol. My hair is also more on the fine side. Not very thick at all. Yes I told you all my hair is weird. I don’t think I would buy this again although I have loved all of their other products.
16,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,Says for curly hair but for my thick course frizzy hair,"This product was recommended as I live in Florida and the humidity really makes my hair frizz. I have been buying expensive shampoos, and I must say I like this better. Very comparable to those salon alternatives as far as rich lather and quality, but even better if you have fly away frizzy hair in humid conditions. Usually I have to wash and dry my hair and it looks better the second day after the frizz settles, but with this product I look more like I came from the salon the same day that I wash my hair."
17,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,"Smells amazing, great hold and shine","This stuff is great! I’ve been using the black vanilla shampoo as well and I love it all. My curls don’t really curl anymore, just wave, but I needed something to give it great hold and shine. This stuff does just that. Smells amazing, slight crunch to it which I like, gives shine, and great hold"
18,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,Carols Daughter Coco Creme EXCELLENT Product!,I love Carols Daughter products and was happy to see the launch of the Coco Creme line.  I have not been disappointed with this shampoo.  My hair is extremely dry due to having several processes on it.  I am always looking for a shampoo and conditioner to help with the dryness.  I am very happy with the results.
19,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,"Works great, but may take a bit of time","I did not like this shampoo at first, and wouldn't have used it again if I had another option, but at the time I did not. I'm very glad I didn't, b/c 2 or 3 shampoos later, the stuff kicked in and my hair started looking great and feeling soft. I am older, so my hair is dryer than it used to be, and its natural wavy/curly structure was starting to lose its oomph. Once this shampoo kicked in, everything came back to normal. I shampoo every other day in the summer and every 3 days in the winter, and this shampoo is now my brand of choice."
20,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",1.0 out of 5 stars,Will never ever put this near my hair again.,"I have natural hair. I wash, tshirt dry and add moisturizer. Have done this routine for 20+ years.I heard raves about this company. So I decided to try it.This left a nasty flaky film in my hair when it dried. My hair felt gross. It’s normally soft and curly and bouncy. This made me look like I needed a deep oil treatment. I had to check the bottle again to make sure it wasn’t supposed to be rinsed and I bought the wrong product. Nope. It’s a leave-in.Not impressed. I use Cantu, Olive Oil and Lusters with no issues. This was the worst."
21,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,Great Product. Heavy/Moisture Rich. Lasts a while.,Can't go wrong with this product if you're hair is thirsty. It is heavy so this will only work with certain hair types. I use this as a leave in conditioner after I shampoo. By taking a dime size amount or less and distributing it to my curls (but not my scalp) when my hair is already wet. I just squeeze out the excess water and it locks in the moisture. One of these will probably last me 2 years considering how little I need to use since it is so heavy.My curls are fine so I would not recommend using this without diluting it for a leave in conditioner and I would not use this more than once per week as a regular conditioner. But that's just me and my fine curls. They can't take the weight.
22,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,"Best find for my kinky curls, after 40 years of searching!","I had stopped buying products since nothing seemed to work for my kinky, white-girl curls. I literally had started using the clippers on my hair so it wasn't long enough to curl up. But someone suggested this exact product, and I haven't looked back! It's now on my Amazon Prime subscription list forever...and cheaper here than anywhere I have looked. Thanks for making my hair happy again!"
23,"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",5.0 out of 5 stars,The only Carol's Daughter Product I use,"I've purchased Carol's Daughter products in the past and many of them were average, for me.  Nothing really special where I felt like I needed it.This one however, is different.  I've ordered it several times and it's the only moisturizing cream I buy.  I've thrown the others out and I stick with this one.  It's thick and helps my twists stay in place until I'm ready to take them out.  It gives softness and moisture to my hair.The scent is a bit strong, but I like it so it doesn't bother me.  I've tried other products, but I keep coming back to this one.  I use this and a small amount of twisting gel (from another company) and that's all I need.I'm taking an effort to stop buying every new product that comes out and just stick to what I know works! This is definitely a staple product for me."
