,Product,Rating,Title,Review
0,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",3.0 out of 5 stars,Just ok.... the smell and thickness are 🤭,I typically like Carol’s Daughter’s oils. My go to used to be the Sacred Tiara until it was discontinued. This is just ok. It has great ingredients but it smells like dirt. And the smell lingers. It’s thicker so it does make my hair oily. Don’t think I will get this again.
1,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",5.0 out of 5 stars,My hair loves this!!,"Since this product is unscented it will sort of amplify whatever you already have on your hair; This has such a gentle sweet smell to me, I almost can't describe it. My hair absolutely loves this product! Very moisturizing, nice viscosity to work with, and easy to get down to the roots! My hair has grown half an inch in just a month, which is amazing to me. You won't regret it!"
2,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",1.0 out of 5 stars,Horrible horrible smell,"I liked the rest of the ingredients in this, so I took a risk and bought a bottle. Tried it at home and immediately started gagging from the strong smell. It's a very strong peppery-fruit fragrance and it does not go away. I disliked it so much that I had to shower after trying to wait two hours for the scent to dissipate. I would advise using another hair oil since the fragrance is too strong in this one."
3,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",4.0 out of 5 stars,Hard to get past the scent,"If you can handle the scent, it works at keeping most of my frizzies away. It is very overpowering to me.  I first tried it on my scalp, and it was just too greasy at the roots with dryness in the ends. I have a lot of hair, but I just use a tiny bit in the palm of my hand (maybe a little more than a pea-size amount) and work it through starting with my ends and blending, blending, scrunching. It works best for me if I wash my hair later in the day, and when it's still a little damp, put on the product and wrap it in a loose bun all night. This photo is first thing in the morning after I let my hair down from the bun."
4,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",1.0 out of 5 stars,Beware,"I waz hoping this would work like the other products but unfortunately my scalped started to feel very dry and i was having patches of dryness. After three days my scalped felt like it burn sometimes. I havent put it on since and its been about 2 days, my scalped still feels like it burns in some areas. The dry patches are still there but i suspect they are chemical burns. This might not happen to everyone, recommend trying a small area for a couple of days to make sure its okay to use."
5,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",3.0 out of 5 stars,Bottle came open,Haven’t tried product yet. product arrived with top untwisted and no seal inside of it. It got oil on all other items in the box ! Very disappointed!
6,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",5.0 out of 5 stars,Better than argon oil,"I have very thin hair strands and a ton of it. No matter the humidity in the air, it is frizzy and poofy.  I have been using argon oil for the last few years and it worked fine. This product, however, seems to work much better and more so the day after washing my hair. On wash day, I use a little more than the diameter of a pencil eraser (chin length hair), rub my hands together working my fingers around scrunching/smoothing where needed and I let my hair air dry. The next day and a day after, just a tiny bit is needed to tame the frizzies and soften the waves. This oil seems lighter than the argon oil hence any slight overage didn't cause major strand clumping.  The scent is nice and isn't overwhelming, at least with the amount I use."
7,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",1.0 out of 5 stars,The smell is not pleasant,"Decided to throw this item away; the smell/scent is not what I want on my hair. So I did not use it based on the odor/scent. It was difficult trying to wash the smell/scent off my fingers.  I would not recommend this product based on the item description. I am sure that all of its ingredients truly benefit the hair, Also, I could not determine what hair texture or hair type this products is beneficial for.  No hair product should leave a lingering smell that is unpleasant to smell."
8,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",5.0 out of 5 stars,Love this stuff,"I moved to the desert from the east coast and my hair dried up and broke off because I didn’t actually take care of it before! I had long frizzy, 3a/3b hair and for the longest I didn’t use anything other than conditioner and gel! I’ve tried a lot of different things, but this smell combined with the way the products feel on my hair and scalp are amazing. My curls feel light, bounce and SHOCKINGLY stopped breaking off and splitting my ends. The moisture loss problem has also stopped, so after I had to do a big chop because of my damage, this stuff and scalp massages have my hair growing like sea weed.This stuff smells like the body oil OSEA so if you don’t like lemon mixed with seaweed, sunshine and sea salt smell, just take a hard no on this… you will smell like summer and I guess that bothers some people!Love love love this stuff."
9,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",5.0 out of 5 stars,Amazing products that actually work for crazy frizzy curly hair.,"I usually read a million reviews before I try a new product but I didnt have time so I just bought this and let me say I absolutely love it for my hair and my daughters (who is biracial and has crazy curly hair) I've spend thousands on hair care for her and 90% of it doesn't work or just looks gross in her hair but this is the one, and after 2 weeks if use I decided to go on and see what else the brand has to offer and all of it so far is the best thing I've found for her hair. Buy it all uou won't be dissatisfied."
10,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",1.0 out of 5 stars,Hair fell out,"So excited to get this product because of the reviews, used it as soon as it came. A few hours later felt the back of my head and a patch of my hair had fallen out. The product did not have a protective plastic seal. So not sure if it is the actual product as produced by Carol's Daughter or if the oil had been replaced."
11,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",1.0 out of 5 stars,Makes hair oily and doesn’t smell great,"I have natural thin crazy curly frizzy hair. I was hoping this would help control my frizz (atleast a little) and not make my hair look oily. It so hard to find a good product. I was hopeful for this to work for me but it wasn’t what I hoped for. It smells horrible, doesn’t help at all with my frizz and it makes my hair super oily. I know when you use oil you use just a small amount but any amount of this just makes my hair smelly and oily. I wish this would of worked."
12,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",1.0 out of 5 stars,A little goes a loooong way,"It does help with scalp itchiness with my braids but it has an overwhelming patchouli-like scent. After I applied this to my scalp, all of my hair was oily within 10 minutes. I have very long, bleached and color treated straight hair. Even after I shampooed, my hair had an oiliness to it. This is probably best for very coarse and dry hair."
13,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",5.0 out of 5 stars,Great for dry hair,"I had been searching a LONG time for a moisturizing oil to use after I wash my hair. My hair is extremely dense, 3b-4a. It gets dry easily as I’m pregnant now and my hair is just way drier than it’s ever been before. I normally do braid outs. I use this oil on my scalp after I finish my braids and every other day as needed while my braids are in. It keeps my hair moisturized and shiny and healthy. It also smells really good. I’m happy with it and I’m going to continue purchasing this oil."
14,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",3.0 out of 5 stars,Smells awful,"I was so incredibly excited to try this. Especially after I had just discovered the Mimosa pomade which smells like heaven. What I was looking for was an oil for my dry scalp that wouldnt make my hair look greasy but was moisturizing. So far it appears to be helping with the moisture issue which is awesome. But the smell of it...its strong and it lingers. It is very peppery, like peppery dirt is how I'd describe it. Its got to be the cumin in it which I'd hoped wouldn't be noticeable but it overpowers the other products in my hair and for the rest of the day all I can smell is that peppery dirt smell. I even put some drops of peppermint oil into it (which honestly that stuff is so strong it could overpower most smells) and it didn't help at all. Unfortunately I'm gonna have to look for a new oil even if this one does what I was looking for."
15,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",1.0 out of 5 stars,Chemical Burns on hairline and scalp.,"I wanted to like this product, in fact I bought a secind bottle after finishing the first until I realized it was the reason for my scalp and edges developing red splotches like from a chemical burn (I know bc I used to relax my hair and have suffered chemical burns before). After halting use in my other creams and oils this was the last thing, and after I stopped use the red patches went away around my hairline. It definetly has a strong spice smell to it (the ginger) and it is possible for vertain herbs and spixes ro burn your skin, My scalp was just too sensitive for it I suppose. It did moisturize my scalp and hair, but the burns wrapped it up for me. Onto the next I suppose. I wouldnt use it on a child or for someone with sensitive skin."
16,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",5.0 out of 5 stars,Excellent for locs,This oil was the best thing to happen to my locs but then comes thieves/maintenance repairs and now I have to order more. I guess my Carol's Daughter hair milk styling foam will have to do for my retwist. Oh no it's running low lol but I have enough for this Saturday night. ; )
17,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",5.0 out of 5 stars,"Lightweight moisturizing oil, reduces shedding","I have fine, dense, Type 4a-4c hair.... and my hair LOVES it. I actually like the scent, and It's moisturizing but not a heavy oil. And the best part?! My shedding has reduced significantly."
18,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",3.0 out of 5 stars,I cannot tolerate the smell,"I don't understand how some are describing the smell as perfume and pleasant. It stinks! I hate it. It has a strong ""dirt"" or cigar smell that never goes away until I rewash my hair. I will never buy any of the goddess products again. The shampoo and conditioner also smells like this. A waste of my money. In the trash all 3 will go."
19,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",3.0 out of 5 stars,Not the scent for me,"I like the ease at which the oil comes from the bottle but the scent....I really don’t like the scent. I should have thought of that since it has cumin seeds in it and I don’t like the smell of cumin, but I was focused on a getting a good oil. I will say, I don’t smell it today after using it on my daughter yesterday."
20,"Carol’s Daughter Goddess Strength 7 Oil Blend Scalp & Hair Oil with Castor Oil and Black Seed Oil, for Weak, Breakage Prone Hair, 4.2 fl oz",3.0 out of 5 stars,Too strong a sweet perfume-y scent that is difficult to get over!,"I have used this only once so far. The bottle is small. The oil consistency seems ok. I am hoping it will deliver results. Too early to tell. I am not finicky about scents but man, this is just way too strong and sweet and perfume-y even for me and I can't seem to get over that. I might look to dilute it with other oils like sweet almond oil just so the scent becomes bearable. I had heard about the brand but now I will be careful buying anything from this brand. If you are someone who is sensitive to scents, stay away from this oil. I don't think I will order this again."
