,Product,Rating,Title,Review
0,"Curls Blueberry Bliss Reparative Hair Wash, 8 Ounces",5.0 out of 5 stars,You can't use this like a regular shampoo. Read me..,"25 year old dude with long curled hair. I need out about all my hobbies and when I decided to grow my hair out I needed out about shampoo. People love to tout having sulfate free shampoos, and I've learned that they can still be so freaking harsh on your hair. This shampoo isn't harsh: THEREFORE it will feel weak compared to other shampoos you've used. It is. It's not going to strip your hair. It will clean it while coating and moisturizing it. You also need to know YOUR hair and know how often you need a rinse vs wash vs clarifying wash etc. You need to know your oil production and protein needs and hydration levels. This shampoo will work miracles but you still have to use brain to get the best results. Combined with the blue berry leave in conditioner, I'm basically rocking the most gorgeous head of hair in my hometown, male or female. Take your hair more seriously. Research this stuff. And buy this shampoo, and their leave in. Drop mic"
1,"Curls Blueberry Bliss Reparative Hair Wash, 8 Ounces",5.0 out of 5 stars,This is my favorite smelling shampoo in the world,"This is my favorite smelling shampoo in the world. I use all the Curls Blueberry products because the smell is just so great, and my boyfriend loves it too.This is a sulfate free cleanser, but it lathers more than i expected it to. After rinsing my hair out, i swear I've never felt my hair so silky between my fingers. And on top of that, after running a brush through, there were no tangles at all, and my hair was mega smooth.I'm a latina girl with naturally wavy hair that curls on the end. After using these products, i have noticeably more defined curls, and way more bounce to my hair overall.I waited more than a month to review this, just to make sure i liked it, and i'm impressed. Will definitely purchase again!"
2,"Curls Blueberry Bliss Reparative Hair Wash, 8 Ounces",1.0 out of 5 stars,"Gummy, sticky, gross — and NOT a shampoo!","There's a reason this is labeled as a ""wash,"" not a shampoo; it's really a co-wash (conditioner used instead of shampoo), not a shampoo. And it's gross — it would NOT rinse out of my hair and left such a nasty, gummy residue that I had to use a clarifying shampoo to get it out.  If you're looking for a good co-wash for curly hair, As I Am Coconut Co-Wash works so much better and smells nicer, too. This stuff (and the matching conditioner) was a total waste of money. :-("
3,"Curls Blueberry Bliss Reparative Hair Wash, 8 Ounces",5.0 out of 5 stars,A really great non-sulfate cleanser,"This lovely cleanser is the first non-sulfate shampoo that I've liked, and I've tried several before including the Deva Lo Poo.  If you are looking for a non-sulfate shampoo that does the job, cleanses your hair and scalp well, try it!  Nice, and creamy, with a pleasant fragrance.  I'm impressed and will look at other products made by this company (Curls)."
4,"Curls Blueberry Bliss Reparative Hair Wash, 8 Ounces",1.0 out of 5 stars,Completely STRIPS Hair of Nutrients and Leaves Buildup,"So I really liked this product when I first started using it last year, it would at times leave a little buildup on my scalp but part of me thought that was just because of me using too hot of water. Fast forward to now, I have realized it has completely stripped my hair of natural moisture and left my scalp waxy with so much buildup. I’ve tried leaving out other products in my routine to see if they were the culprits and it’s led me back to this one.The colder the water i used to wash my hair, the more waxiness and build up that was left, BUT if i used warmer water it still left a ton of buildup and a slight itchiness afterwards on my scalp. This last time I’ve used it, it also left me with a disgusting smell in my hair. I’m very disappointed because I’ve heard such great reviews about this product and now it has damaged my hair in the long run."
5,"Curls Blueberry Bliss Reparative Hair Wash, 8 Ounces",5.0 out of 5 stars,2 in 1,"This isn’t a typical shampoo. It’s more like a high-quality 2-in-1 shampoo and conditioner. Or a co-wash with added gentle foaming detergents. The instructions on the bottle recommend shampooing twice and leaving it on the hair for several minutes to condition. It is a very heavy, moisturizing product that doesn’t feel like any other shampoo I’ve ever used before. For my texture (2a-2b wavy), it provides all the moisture I need without conditioner. I just need a light detangler afterward, as it doesn’t really have enough slip for combing through.It’s the first shampoo in a long time that I’ve repurchased several times in a row. Very happy with how it works for my hair, and the moisture lets me cut multiple conditioning and leave-in products from my routine."
6,"Curls Blueberry Bliss Reparative Hair Wash, 8 Ounces",5.0 out of 5 stars,Smells Great and Moisturizes My Curls Like No Other,"LOVE LOVE LOVE this line! This hair wash smells great and moisturizes my curls like no other. I really love how soft it make my hair and how easy it is to detangle my hair while using this product. I can detangle it while shampooing or when using the repairing conditioner-- it doesn't mater, it's just that good, I have 4B/C hair and issa go to product for me. Did I mention it smells lovely?"
7,"Curls Blueberry Bliss Reparative Hair Wash, 8 Ounces",3.0 out of 5 stars,Not as great as people praised to be,"So the scent is supposedly great but it isn’t. It is your typical cough medicine scent that is very strong. I’ve noticed since I started using it, my head becomes “dirty” or oily a lot quicker. It sure hydrates my hair but not worth it."
8,"Curls Blueberry Bliss Reparative Hair Wash, 8 Ounces",1.0 out of 5 stars,Recieved expired product,I've been using this product for close to 5 years. The product I received was expired this time and therefore does not function as it is suppose to. The product I received was completely separated inside the bottle and had a different consistency than this product should have.
9,"Curls Blueberry Bliss Reparative Hair Wash, 8 Ounces",5.0 out of 5 stars,"Great shampoo, has chamomile!",This is one of my all time favorite shampoos. It makes my color treated hair silky soft and washes oil treatments from my hair with ease without overstripping moisture from my hair or washing out my dye
10,"Curls Blueberry Bliss Reparative Hair Wash, 8 Ounces",5.0 out of 5 stars,Awesome sulfate free shampoo,"Best shampoo I have found for my daughter’s type 3a/b curls. It’s light weight, has impressive slip for a shampoo and doesn’t dry out her hair. Follow up blueberry leave in conditioner and her hair is very soft. It’s sulfate free which is a bonus. Smells great too"
11,"Curls Blueberry Bliss Reparative Hair Wash, 8 Ounces",4.0 out of 5 stars,Do not love for curly thin hair,Leaves my hair a little oily. I have thin curly but a lot of hair .... smells delicious but doesn’t make that much foam. Compared to not your mother’s curl it seems it doesn’t deep cleanse enough for my hair type ! I do love their gel !
