,Product,Rating,Title,Review
0,"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,THIS IS NOT GIOVANNI DIRECT LEAVE IN CONDITIONER!!! THIS IS A COMPLETE FRAUD!!,"THIS IS NOT GIOVANNI DIRECT LEAVE IN CONDITIONER!!! THIS IS A COMPLETE FRAUD!! I use this product all the time and what I received from you is too thick, has a nasty scent, and the color is different!!! I would like my money back!!! There could be anything in these bottles, this is not what I paid for!!!!!!"
1,"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,**FAKE**,"Bought my first big bottle of this stuff at Walmart. Loved it so much I bought this 3-pk because I knew I would continue to use it. Too bad I just ran out of my big bottle yesterday only to find out these bottles are filled with lotion!! Not even a good lotion at that! Should have know since the price was good, but since it was Amazon just assumed it would be legit. Can’t get a refund because my authentic bottle lasted longer than I thought it would so guess I’m just taking a lesson away from this order...*eye roll*"
2,"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,Didn’t Work AT ALL!😒,I’ve read so many good reviews on this product. Not sure if what I received is a different formula from everyone raves about but THIS DIDN’T DO ANYTHING FOR MY HAIR!The first few times I made the mistake of not reading the directions carefully and I followed up with this after a conditioner rather straight after shampooing like it states. It sat on top of my hair and left a white residue and later a cast. So when I tried it correctly it did the same thing. It doesn’t seem to penetrate my hair at all and now I’m pretty much left with no choice but to throw the bottles away. It was a waste of money.Btw im natural 3c/4a tyoe with low porosity
3,"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",4.0 out of 5 stars,Works and does not smell.,"It is not exactly WEIGHTLESS but it works and I feel the moisture stayed in my hair. This is really what attracted me to this product (I have dry hair). This also has no SMELL -- which is what I really like. Products often say ""fragrance free"" when they mean no PERFUME but then you walk around smelling  like coconut or pineapples (which is just as smelly). I work in office spaces where visitors come in and their heavy perfumes can be OBNOXIOUS. I find it offensive to be wafting scents in common work spaces, hospitals, labs and community centers. So I am relieved whenever I find some hair products that work without SMELLING."
4,"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,Feels like lotion - seems fake,I'm really annoyed with Amazon and their counterfeits at this point.  Everything is so questionable. They need to figure out how to screen these products because I'm literally on the verge or boycotting them all together. This product feels like I'm putting wash out conditioner in my hair.  It smells like a lotion from the 80s - old.  Not like grapefruit or whatever it claims to be. It's disgusting how many products I've seen to be counterfeit on here.
5,"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,Found something for my 4c natural hair!,"I love it! I purchased the pack of 3 when I was relaxed and my hair didn't really like it. Fast forward I started to stretch my relaxers then transition now I'm natural and have been purchasing different leave in con'd that just doesn't seem to cater to 4c hair like they claim so I found this product way in the back of my cabinet behind dozens and dozens of products. Don't know what made me give it another try but I'm so happy I did!! It made my 4c curls pop! I applied it on an old unwashed hair to re-do my large braidout (on each side). I didn't need to add water but I added a small amount of extra virgin olive oil then eco styler olive oil gel to tame the fly away hairs and perfect the style. I'm so mad that I've been just wasting money following the ""Instagram product trends"" when I had the secret in my cabinet the entire time. My next wash day is in two days. I'll see if it works just as well on damp hair. And in the future when I'm ready to blow dry again I'll see if it works. Tip: I applied about a quarter size amount to both sides of my hair and works it through. Once I applied the gel (because I need to be heavy handed with the gel to lay my hair) it look like it may leave residue but once you work it in and tie your hair up its clear and popping!"
6,"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,Awesome Leave In,"Curly Girl, 3b low porosity curls. Perfect moisture and consistency. Light, when you rub in hands does turn white but goes away once applied. Smell is fine, it doesn't linger but that's not a bad thing because I usually layer it with a styling product curly, natural hair ladies know what I'm talking about. Great deal for 3 bottles. Has become one of my favorite leave in, great for wash and go. It is also good for the summer months when we need our curls hydrated. Will definitely recommend and repurchase."
7,"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,Finally Weightless Leave In for the WIN,"I've only ever purchased this from Amazon so I don't know if it's fake or not but whatever is in these bottles is the best leave in conditioner/curl cream I've ever used.  I mix this with Palmer's Hair Polisher after showering and walk out the door.  I have 3a fine hair that doesn't like to be weighed down.  This controls frizz, enhances curls, and adds volume.  I've always washed my hair every morning because either my hair is a greasy mess due to product or my curls have fallen out but this stuff can be reapplied in the morning to perk up my curls and remains weightless all day.  Perfection!"
8,"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,"Terrible, fraud, not the real thing.","Very disappointed. I am African American and have 4b/4c hair texture. This product worked horribly on my hair. My hair felt hard and dry after using it, not moisturizing at all. Also I am about 99% this isn’t the actual Giovanni leave in. I’ve used this product before and it was a completely different consistency and texture from when I would buy it in store. I believe this product is a fraud and not the actual Giovanni leave in conditioner."
9,"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,Great Product for 4C Natural Hair (Transitional Stages - Daily Wash n Go's),This has been for me one of the best products for my 4C natural hair which also suffers from a moisture problem. I have experimented with several different types of leave in conditioners but I find myself coming back to old faithful. It leaves my hair soft and does not flake when I use it daily with my Eco Styler Olive Oil Gel.It is very cheap I normally purchase the 3 pack for $18.00 and it lasts for almost a year I do my reordering around the 9th or 10th month. This is a really good product if you are transitioning and if you love to wash and go's daily or for refreshes and don't worry if it looks white when it drys it doesn't dry flaky but make sure you get WEIGHTLESS though there is a difference.
