,Product,Rating,Title,Review
0,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",2.0 out of 5 stars,UGHHh,"I had high hopes for this after seeing reviews of it on here and YouTube. I thought I had finally found a cheap natural hair product, but a girl was wrong...again. It did not help my hair at all. I could not detangle with it and it left my hair feeling brittle and lifeless. I have hair from type 2A to 4B and it did nothing for me. My cousins have 4B-4C hair and it only worked on one of them."
1,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",3.0 out of 5 stars,Just okay,"I've been making a point of buying only paraben free, sulfate free shampoo and conditioner for the past year. I wish I could say I've finally found a really hydrating conditioner with this one, but it just does a very average job for me. I still have to comb a TON of argon oil through my hair after showering for it to be soft and nice. I like other attributes of the conditioner, like the smell and such, but hydration is the whole point, and it's not doing it. Too bad! I'd previously been using Avalon Organics Nourishing Lavender. I find this to be about the same in effectiveness, just less costly.For reference, my hair is colored, but not too dry.Also - not related to effectiveness - but it's challenging that the shampoo and conditioner bottles look exactly the same. I find it funny that there's nothing visually distinguishable between them. Haven't mixed them up; just funny."
2,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",5.0 out of 5 stars,Literally my favorite brand,"I cannot emphasize enough how amazing this brand is. Aloe as the first ingredient is the most amazing thing you can have in a skin or haircare product. Add to the fact they have coconut water in it too, and it's f over! And no silicone, sulfates, or parabens? Please! This could smell like toilet water and I'd buy it and mask it, but luckily all of their products truly smell like Maui; words don't do it justice, but it smells how having tropical sun kissed skin feels.Dramatics aside, you simply will not find a product (body wash, shampoo, or anything) better than they have for a better price. Not with the ingredient concentration and quality for sure. I look hella too like I'm obsessed- I actually have really bad (diagnosed) OCD.I literally never write reviews but I literally have like 5 of their products and am obsessed with getting more (I always have some waiting in my cart to get when I have extra money- right now I have 2) cause they're so good. I've been using really good products for awhile now and you can genuinely feel the quality and moisture in the consistency like this stuff is really good. Their body wash is exquisitely moisturizing and nourishing(and I got volcanic ash-the harshest one- and I mix it with a bha/aha wash that I v drying) and its the only body wash I've ever used where the smell actually lingers ON YOUR SKIN!!!I recommend this brand enthusiastically to all my friends and family, and I recommend it to anyone. Clearly get the right product for you, but this brand, and their base formula, is good for anyone and everyone."
3,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",VINE VOICE,5.0 out of 5 stars,"I found this shampoo and conditioner by chance in a store and love, love, love it! I have noticed that my split ends have decreased since using it. So happy that I stumbled up this brand."
4,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",5.0 out of 5 stars,HOLY GRAIL - Low porosity hair life saver!!!!,"I've tried so many products from Olaplex to every natural/sulfate free shampoo and conditioner to mend my super dry low porosity hair (I don't color, I barely use heat, but my ends get so dry and have breakage from previous keratin treatments) and within ONE wash - my hair literally went from feeling dead and dry from the neck down to being the softest and healthiest my hair has ever felt all the way down to my ends!!! It has so much life and movement - all the dryness and frizz are GONE. Literally can't believe the results for the price, it feels like my hair went through a $200 conditioning treatment I'm obsessed!!!!"
5,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",1.0 out of 5 stars,Awful and doesn’t condition the hair at all,This is the worst waste of money. It is worse than putting soap in your hair. It is completely worthless and useless. This is the worst conditioner that I have ever used. It is not like conditioner at all. You may as well put soap in your hair. This so-called conditioner does not do anything to condition the hair. It leaves your hair dry and a mess. Your hair will be dryer and have knots after using this.
6,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",5.0 out of 5 stars,"Amazing detangler for dry , coarse , ethnic hair.","This is an excellent moisturizer. You’ll notice, it softens and detangles at the same time with the added bonus of smelling just amazing. I have long , natural , ethnic , thick hair that tends to dry out due to intense workouts , resulting in a lot of sweating and this has worked really well (a game changer) . After normal product use, my hair feels silky; I can literally comb through my thick hair with only my hands because it detangles and softens very well. I would highly recommend sectioning your hair and applying this product according to the instructions. I saw an immediate difference in the natural texture of my hair and couldn’t be happier. Big bonus: not greasy and no residue.Tip:Use in shower after washing your hair. Put this product on liberally , in sections , leave on about 2 minutes to let it work it’s magic, rinse out and enjoy the benefits. My hair is the driest around my nap so I apply liberally in my nap and hairline .  This clears the kinks. This is a thick product so turn the bottle upside down before using; it’s not watery so you may have to shake the bottle to get the product out.I learned of this product reading multiple reviews online , saw that it was sold on amazon and picked up 2 bottles. This is a staple in my house."
7,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",5.0 out of 5 stars,Finally found the perfect shampoo and conditioner,"I've been using this shampoo and conditioner for 3 months now, and I can finally say I've found what I've been looking for.My whole life, I've had super thick, coarse, kinky, dry hair that basically feels like you're brushing hay. That may be in part due to PCOS and some hormone imbalances caused by that, and I've tried all kinds of products over the years to make it feel even remotely moisturized. Everything either didn't improve the feel of my hair, cost WAY too much, or left my hair feeling greasy.Maui Moisture Heal & Hydrate made my hair feel smooth and look shiny for the first time ever...while leaving it feeling light and fluffy. Yay no grease! I feel like I got a salon product at an actual reasonable price. Highly recommend."
8,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",5.0 out of 5 stars,Don't hesitate,"I had been using Tresemme shampoo and cheap conditioner for a while now and it's done nothing but damage my hair and leave residue. This is the first all natural product I've used and I'm in love!!! I paired this with the matching shampoo and the vanilla bean hair mask. I shampooed and then conditioned allowing it to sit for 10 minutes then rinsed, when I got out of the shower I used the mask as a leave- in product using a small amount on my damp hair. I allowed my hair to dry naturally. I have not seen my natural waves in months!!!! After just one use my hair feels like it's coming back to life. This is my new go too!!!!"
9,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",5.0 out of 5 stars,Love this!,"I've gone back and forth with so many different products for my dry and damaged hair and none of them gave me the results that this brand did! I bought the conditioner as well and it has made a huge difference. My hair is still dry, but definitely not as bad as it was. My frizz is pretty much gone, and my natural waves and curls have become so much more pronounced. I used to straighten my hair all of the time because I didn't like how my waves/curls looked, and now I don't straighten my hair! You end up only needing so little of this stuff to help your hair, it's amazing. I love the coconut scent, and my hair always feels so healthy after a wash. I highly recommend buying the conditioner with it for the best results. Will absolutely continue buying this when it comes time for more."
10,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",5.0 out of 5 stars,Love the Heal and Hydrate line,I love the Heal and Hydrate shampoo and leave in conditioner! My hair is very long and fine in texture.  So many moisturizing products weigh my hair down but not these. They do a great job. When my hair was a lot shorter I really liked the heal and hydrate conditioner and mask but i find now that my hair is very long they don't quite add as much moisture as I need.  I use another brand's hair mask instead to condition after shampooing now. But the shampoo and leave in are holy grail status for me. Not a fan of any of the other Maui Moisture lines I have tried but the heal and hydrate are amazing.
11,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",5.0 out of 5 stars,I finally got it RIGHT!,"My teen daughter is so picky about her hair products!!  She has ""mixed"" hair and it is very thick and curly.  She is very scent sensitive and very difficult to purchase anything for!  I took a chance and she is in LOVE with this.  The scent is light but pleasing.  Her curls are soft and shiny, very manageable!  She hates a stiff or a thick product and this is neither.  She was actually impressed I picked this out!  Definitely recommend!"
12,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",2.0 out of 5 stars,Maybe it's the formula,"I have bought and used Maui products before and had no problem with them doing what they say they do. My issue with this Maui product is that the smell is really strong almost like the product has been doused in alcohol and perfume strong. For a minute I thought maybe the seller did something to my product(product came unsealed) and that was the cause of the smell. I don't remember Maui smelling so loud. Overall, as I stated the product did do what it stated but the smell is strong."
13,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",1.0 out of 5 stars,This is not Maui Moisture!,BUYER BEWARE whatever is inside this bottle is not the correct product! I buy this at my grocery store as needed but due to the pandemic I decided to purchase on Amazon and save myself a trip. I know exactly what this scent should smell and feel like. The product inside the bottle smells and looks nothing like it should. I will never buy things like this from Amazon again. Too easily switched out for cheap knock-off products!
14,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",1.0 out of 5 stars,Not what I expected....,This is a great product but I was not fond of how it left my hair. I think it cleaned it too much and left my hair without moisture for me to feel its essence look I was expecting of this product. It is highly wonderfully scented with wonderful aromas it is to embrace and be mentally transported in sweet lands but for me does not do the job I was hoping for.
15,"Maui Moisture Frizz-Free + Shea Butter Leave-in Conditioning Mist, Curly Hair Styling, No Drying Alcohols, Parabens or Silicone, 8oz",4.0 out of 5 stars,A thick conditioner that smells amazing,"This shampoo is very moisture rich. For me, this isn’t the best for a shampoo because it makes my scalp oily pretty quickly. I will still use it because it smells so good! I like the conditioner better because it has the same smell. The conditioner is thick and it feels like it penetrates the hair better than lighter conditioners. I prefer the conditioner over the shampoo and I think the price is good for the quality of then product. I prefer this scent and product the most from this brand. However, I really do not like the deep conditioning masque in this same scent. It is terrible and makes my hair feel like I put something extremely cheap on my hair"
