,Product,Rating,Title,Review
0,"MopTop Cowash Cleansing Conditioner, Wavy, Curly & Kinky-Coily, Color Treated & Natural Hair Moisturizer, made w/ Aloe, Sea Botanicals & Honey reduces Frizz, increases Moisture & Manageability",1.0 out of 5 stars,Caution!,"Let me start by saying I love this product. However, it has no preservatives in it and can actually “go bad” if it sits to long. I usually get it from my hair salon, but found it here on amazon and decided to order it. When it arrived, the tubs were wrapped in additional plastic (which is different from the salon) and the safety seal was missing. The thing that bothered me though was the color, consistency and smell of the product. It is supposed to smell wonderful (somewhat sweet but not overpowering) with a light opal color the consistency of thick honey. This was fowl smelling, runny and darker than it was supposed to be. Long story long, great product but buy it at a store so you can check it’s color!"
1,"MopTop Cowash Cleansing Conditioner, Wavy, Curly & Kinky-Coily, Color Treated & Natural Hair Moisturizer, made w/ Aloe, Sea Botanicals & Honey reduces Frizz, increases Moisture & Manageability",5.0 out of 5 stars,"Staple product, consistent results.","This is one of my staple products. I have 2B, low porosity, fine-medium strands, high density hair. This custard smells great and is very concentrated, ensure you emulsify well when applying.  Custards don’t typically provide a lot of hold but I do think this product has a good amount of hold on its own. I typically use it on wash days but have used it to refresh and it will revive and hold my waves. Product smells great, citrusy like a Kumquat but the smell unfortunately will not linger (I personally would love to smell like this product all day long). The product does contain protein and glycerin. It has held up well even in humidity despite the glycerin content. This is likely because I DO layer this product with 2 other stylers that I think are a great combination and compliment each other superbly. I use the Uncle Funky’s Daughter Curl Magic as a base, Moptop Curl Custard second, and seal the deal with Jessie Curl Spiralicious. In the pictures my hair looks wet/shiny, but it is fully dry FYI.In case you are wondering I use a cowash, As I Am 2 out of my 3 weekly wash days and clarify with Bounce Curl Clarifying Shampoo, and condition with Bounce Curl Super Smooth conditioner.I went crazy buying a bunch of products when I transitioned to embracing my natural hair, but hands down this product with the combination I mentioned above is a definite winner for my hair type. As you can see, I was so confident in my line-up that I went out to my first dressy outing sporting my natural hair for the first time since my transition and I was not disappointed. It gave me such confidence to know you can look “put together” with wavy/textured hair."
2,"MopTop Cowash Cleansing Conditioner, Wavy, Curly & Kinky-Coily, Color Treated & Natural Hair Moisturizer, made w/ Aloe, Sea Botanicals & Honey reduces Frizz, increases Moisture & Manageability",5.0 out of 5 stars,great custard,"This is indeed a great custard, better than the other super famous custard, Kinky Curly. With moptop hair dries faster, I get better definition and glossy clumps. My hair is 2c, fine but dense, dry, heavily highlighted. I really get beautiful results. It is pretty forgiving, as if you use too much, you can easily scrunch out the cast and it won't weight your hair down a bit...this is another big difference with kinky curly...with my hair type it is pretty much impossible to get volume with kinky curly custard, but I get ton of body with lots of movement with moptop custard. The only con is the high content of glycerin that causes frizz in the super humid, high dew points days we have here in Florida. In those days, I can't usually use moptop by itself as a solo styler, but I need to top it with a hard hold-no/low glycerin gel (great with AG liquid effects, or Biosilk hard rock gelee). Not a big deal, I still get the good definition and bounciness moptop gives."
3,"MopTop Cowash Cleansing Conditioner, Wavy, Curly & Kinky-Coily, Color Treated & Natural Hair Moisturizer, made w/ Aloe, Sea Botanicals & Honey reduces Frizz, increases Moisture & Manageability",5.0 out of 5 stars,Found this product after a YouTuber CurlyPenny recommended it and I love it so much,Found this product after a YouTuber CurlyPenny recommended it and I love it so much! I don’t know how I have gone all this time without knowing about this product. My hair gets weighed down very easily and I have never had an issue with this products no matter how much I used. #1 pruduct I have ever used. I’ll choose this over devacurl any day
4,"MopTop Cowash Cleansing Conditioner, Wavy, Curly & Kinky-Coily, Color Treated & Natural Hair Moisturizer, made w/ Aloe, Sea Botanicals & Honey reduces Frizz, increases Moisture & Manageability",1.0 out of 5 stars,False Advertising,"I recently ordered MopTop leave-in conditioner and was very disappointed in their advertising. On the description of the product it said that this hair product was paraben-free. sulfate-free, and many other things free. I was very disappointed when I read the ingredients of the product and found out that there is sulfate in the conditioner. I purchased this item because it said it was all natural and free from any chemicals. Very, Very disappointed."
5,"MopTop Cowash Cleansing Conditioner, Wavy, Curly & Kinky-Coily, Color Treated & Natural Hair Moisturizer, made w/ Aloe, Sea Botanicals & Honey reduces Frizz, increases Moisture & Manageability",5.0 out of 5 stars,Great healthy gel alternative,"This custard is more like a light hold gel for wash and go days. I have wavy frizzy hair and this left my hair with almost totally frizz free, soft, bouncy curls. It definitely has a funky slimy texture with a strong fruity citrus smell but the smell dissipates as it dries.Pros:Adds shineSoft not crunchy curlsLightweightNatural ingredientsAffordableCons:Tames most frizz but not allOverall I am pleased to have this on hand. It is a much better alternative to the unhealthy ingredients I got from my previous gel. Still looking for something natural to completely tame my frizz without looking like a grease ball.UPDATE: After a few months of use I found that if I use a little more on top where I'm most prone to get frizz it will make a slight cast that I can break after it dries and then I'm frizz free! I just pull the locks through my fingers to unstiffen it until it looks natural.I'm also so impressed with how much volume I get with this. It doesn't weigh down my hair even though I add extra on top. Updating my rating to 5 stars. I use it daily after showering or to refresh curls. I still have plenty left. I'd guess with my medium length hair it will last at least 6 months. Great natural product and value!"
6,"MopTop Cowash Cleansing Conditioner, Wavy, Curly & Kinky-Coily, Color Treated & Natural Hair Moisturizer, made w/ Aloe, Sea Botanicals & Honey reduces Frizz, increases Moisture & Manageability",5.0 out of 5 stars,Holy grail!!,This is amazing!! I have wavy hair that is prone to frizz and often lacks definition. This is the ONLY product that has ever worked for me! Add a bit of Curl Definer by Xtava and bam!
7,"MopTop Cowash Cleansing Conditioner, Wavy, Curly & Kinky-Coily, Color Treated & Natural Hair Moisturizer, made w/ Aloe, Sea Botanicals & Honey reduces Frizz, increases Moisture & Manageability",2.0 out of 5 stars,Leaves a white flaky residue,"I bought two of these, one was for my mom. It does leave your hair soft and very curly but after your hair is dry it also has a white flaky layer that forms and falls off like dandruff. It did the same thing on my moms hair."
8,"MopTop Cowash Cleansing Conditioner, Wavy, Curly & Kinky-Coily, Color Treated & Natural Hair Moisturizer, made w/ Aloe, Sea Botanicals & Honey reduces Frizz, increases Moisture & Manageability",3.0 out of 5 stars,Blame it on the a-a-a-a-a-aloe,"I wanted to love this gel, I really did, but it's just not for me. It smells amazing and it has this really interesting thin consistency that seems perfect for not weighing down my curls.And yet, here I am, the fourth wash day using this product, and I have conceded defeat. I kept getting fuzzy, frizzy, stringy, undefined curls and I could not for the life of me figure out why. Turns out, aloe is a problem for a lot of curlies. If your hair is instantly frizzing and losing it's ""clumpage"" when you add this gel, consider that your hair might not like aloe. Look up flash-drying.I don't want to give this product a bad rating just because I didn't know aloe wouldn't work with my hair. After all, it seems to work well for lots of people! I just hope this review helps someone else who is struggling with this gel and can't figure out why."
9,"MopTop Cowash Cleansing Conditioner, Wavy, Curly & Kinky-Coily, Color Treated & Natural Hair Moisturizer, made w/ Aloe, Sea Botanicals & Honey reduces Frizz, increases Moisture & Manageability",5.0 out of 5 stars,My new favorite,"The media could not be loaded.
                




   This stuff is my new go-to! Wish i found it sooner.I’ve never been quite sure what the difference between gel and custard/jelly is — there are so many different types of products out there! But in my experience I’ve found custards and jellys to clump my hair nicely but not necessarily define them, and I’ve found them to leave my hair looking a little greasy and leaving a weird residue on them, whereas I’ve found gels to define and hold hair much better, but often leave it crunchy with lots of flyaways. Also, gels hold seems to be too strong and leaves a lot of my waves/curls misshapen. This product has a unique texture, not 100% like either gel or jelly (see video)My hair ranges from ‘s’ wave patterns to curls (mostly underneath.) The top is prone to extreme frizziness and just general “poof” and the front pieces that frame my face are prone to losing all wave pattern. This product seems to address all my hair concerns: manages frizz, boosts curl patterns where it’s needed, and holds pretty well without leaving a weird greasy residue.Overall I’d say this product is the perfect medium between jelly and gel! More hold than a jelly but less crunch than a gel. It smells great too and i like that it comes in a jar. I use a leave in conditioner/curl cream first and then use this product to scrunch my hair, let it dry, and I’m good to go.Hope this product helps someone struggling with their hair as much as it helped me! For the price you can’t go wrong giving it a chance— I’m so glad i did :)"
