,Product,Rating,Title,Review
0,"MopTop Detox Shampoo for Fine, Thick, Wavy, Curly & Kinky-Coily Natural hair, Citrus Medley, 8oz.",5.0 out of 5 stars,Amazing results with just one wash!!!!,"After a summer filled with fun in the pool, my girls hair were feeling waxy & sticky. I couldn’t brush through their hair, or style their hair no matter what. I would try and brush their hair while braiding and the hair would stick to my hands and tangle while braiding. After speaking to my hair dresser I was on the hunt for clarifying shampoo. I’ve tried a few in the past (high end salon products, MLM stuff & stuff you’d find at a pharmacy) , but have never been blown away with the results. This stuff though...It was like magic with just one wash. Hair is back to normal texture, and no more tangles or tears. I never leave reviews so for me to come in here and leave one it must be amazing."
1,"MopTop Detox Shampoo for Fine, Thick, Wavy, Curly & Kinky-Coily Natural hair, Citrus Medley, 8oz.",5.0 out of 5 stars,VERY happy to have my curls and clean hair back,"I am surprised how difficult it was to find a clarifying shampoo that I felt would really clean my hair, and I’m SO glad I found this one! For reference, I have fine, low porosity, low to medium density hair, so my hair gets buildup and gets weighed down super easily. I had tried a couple other “clarifying” shampoos that just made my hair more gross because of the heavy moisturizing ingredients in them. The past few weeks before using this shampoo, my hair somehow was simultaneously greasy and dehydrated because it was blocked from absorbing moisture and everything was just sitting on the surface. This shampoo doesn’t have anything heavy in it as far as I can tell, and my hair was TRANSFORMED after using it. So so happy!"
2,"MopTop Detox Shampoo for Fine, Thick, Wavy, Curly & Kinky-Coily Natural hair, Citrus Medley, 8oz.",5.0 out of 5 stars,Favorite for detox!,"I love this product. I only use it once every month to six weeks to detox my hair from gels and other products. I do the Curly Girl Method so I don't use products with harsh chemicals, but the natural oils and gels I use, do build up a little over time. This cleans my hair so well. Even though its a bit harsher (designed to be that way) for once a month detix shampooing, I love using it. For whatever reason my hair is always curliest after I use it. I figure over the month, the products do weigh my curls down a little."
3,"MopTop Detox Shampoo for Fine, Thick, Wavy, Curly & Kinky-Coily Natural hair, Citrus Medley, 8oz.",3.0 out of 5 stars,Smells Funky,"This shampoo smells weird.  When I use it, I kind of feel as though I'm washing my hair with paint thinner.  If I've just shampooed with a clarifying shampoo, then this stuff also sudses pretty well -- a pleasant surprise, since most natural products (in my experience) don't.However, if I've been shampooing with this and conditioning with the MopTop conditioner (no other product of any kind -- no stylers, etc.), I get a lot of buildup, my hair feels gross, and it no longer sudses well.  I don't know if this is a result of the shampoo or the conditioner -- and I have very hard water, so if your water is soft, you might have better results -- but this was a fail for me."
4,"MopTop Detox Shampoo for Fine, Thick, Wavy, Curly & Kinky-Coily Natural hair, Citrus Medley, 8oz.",5.0 out of 5 stars,I can’t recommend this enough,"I’ve had issues with oily hair and itchy, painful, and flaky patches on my scalp for as long as I can remember.I tried this shampoo on a whim, hoping that this product would work out of the what feels like the millions I’ve tried already. I wash my hair once a week due to sensitive skin and such. I used to was it and then the very next day it was so oily I felt gross. With this new shampoo, my hair doesn’t start getting greasy for a couple of DAYS, I feel like I can actually do things with my hair and go out and do things with my hair. I cant recommend this enough! If you’re looking for a reason to get this, do it!(I do have bleached and dyed hair, so it works great on that kind of hair too 💕)"
5,"MopTop Detox Shampoo for Fine, Thick, Wavy, Curly & Kinky-Coily Natural hair, Citrus Medley, 8oz.",4.0 out of 5 stars,Serious hair detox!,"This shampoo seems to be a serious detox.  I use it 1x 3-4 weeks or so.  I find that I need to heavily moisturize following usage.  I like this shampoo and using it with less frequency makes it a good $$ value.  I am a 2b curl, trying partial curlygirl methods."
6,"MopTop Detox Shampoo for Fine, Thick, Wavy, Curly & Kinky-Coily Natural hair, Citrus Medley, 8oz.",2.0 out of 5 stars,Leaky bottle 😢,I could tell it smells really nice as soon as I opened the bubble mailer it arrived in because the bottle had leaked all over. I looked inside the bottle to find it at least half gone. There was not 1/2 bottle of product in the bubble mailer so where did it go??? I suspect I was ripped off. Unfortunately I’m having a hair emergency and really need to detox my hair/scalp so I’m not bothering with the return. It wouldn’t be a big deal if the product wasn’t so ridiculously overpriced to begin with. But I literally got half of what I paid for.
7,"MopTop Detox Shampoo for Fine, Thick, Wavy, Curly & Kinky-Coily Natural hair, Citrus Medley, 8oz.",5.0 out of 5 stars,Game changer,"Wanted to embrace the waves of 2b, 2c, and 3A curls without sulfates or parabens or the rest of that junk.  This clarifying shampoo is something that has helped me along my journey to embrace what I have been given."
8,"MopTop Detox Shampoo for Fine, Thick, Wavy, Curly & Kinky-Coily Natural hair, Citrus Medley, 8oz.",5.0 out of 5 stars,Promotes healthy hair and scalp,Top notch product with great ingredients. Gentle yet effective. Perfect for deep cleaning styling product and sebum built up. I use this 1-2 times a month. Worth every penny.
9,"MopTop Detox Shampoo for Fine, Thick, Wavy, Curly & Kinky-Coily Natural hair, Citrus Medley, 8oz.",3.0 out of 5 stars,WAY TOO EXPENSIVE For So Little,The quality of this product is a 5 star. I just think you can get the same results from Suave Clarifying which is only a few buck but you get 10 times as much as this teeny bottle.
