,Product,Rating,Title,Review
0,"Not Your Mother's Curl Talk Frizz Control Sculpting Gel & Defining Cream (2-Pack) - 6 fl oz - Flexible Hold for Curly Hair - Moisturize, Condition, Protect, and Enhance Curls",1.0 out of 5 stars,Didn’t work for me,"This product didn’t work on my hair but my hair is fine so this may not be an accurate review. It smells really good and makes your hair so soft. I still gave it 5 stars for the scent, moisturizing ability and price."
1,"Not Your Mother's Curl Talk Frizz Control Sculpting Gel & Defining Cream (2-Pack) - 6 fl oz - Flexible Hold for Curly Hair - Moisturize, Condition, Protect, and Enhance Curls",5.0 out of 5 stars,Great for frizzy curly hair,I have curly hair that’s got some frizzies. I like this product a lot. It helps with the friz. It does seem to dry my hair out a bit tho.
2,"Not Your Mother's Curl Talk Frizz Control Sculpting Gel & Defining Cream (2-Pack) - 6 fl oz - Flexible Hold for Curly Hair - Moisturize, Condition, Protect, and Enhance Curls",2.0 out of 5 stars,It’s ok,Bought this for my daughters curly curly hair she’s 4. It makes her hair crunchy I was hoping for soft curls not hard crunchy ones
3,"Not Your Mother's Curl Talk Frizz Control Sculpting Gel & Defining Cream (2-Pack) - 6 fl oz - Flexible Hold for Curly Hair - Moisturize, Condition, Protect, and Enhance Curls",2.0 out of 5 stars,Very drying,This was just okay.  It was very drying for my type of curls.  It didn’t hold the frizz for more than a few hours.  I will not purchase this again.
4,"Not Your Mother's Curl Talk Frizz Control Sculpting Gel & Defining Cream (2-Pack) - 6 fl oz - Flexible Hold for Curly Hair - Moisturize, Condition, Protect, and Enhance Curls",5.0 out of 5 stars,Finally found something that works,"This product is my perfect match. I have soft curls and when I put it on, it leaves my curls looking natural and all together. I even subscribed to get them regularly!"
5,"Not Your Mother's Curl Talk Frizz Control Sculpting Gel & Defining Cream (2-Pack) - 6 fl oz - Flexible Hold for Curly Hair - Moisturize, Condition, Protect, and Enhance Curls",5.0 out of 5 stars,Love the cream,"I love the cream. My hair seems to like it. The gel is just too heavy, even after breaking the cast it weighs my hair down."
6,"Not Your Mother's Curl Talk Frizz Control Sculpting Gel & Defining Cream (2-Pack) - 6 fl oz - Flexible Hold for Curly Hair - Moisturize, Condition, Protect, and Enhance Curls",3.0 out of 5 stars,Mixed smells,For the price good value… depending on what kind of texture you have it will work in that regard…. The smells of the Individual do not work well to my séance smelled like some rotten fruit or vomit … was hoping smells would complement the product … this should be addressed?
7,"Not Your Mother's Curl Talk Frizz Control Sculpting Gel & Defining Cream (2-Pack) - 6 fl oz - Flexible Hold for Curly Hair - Moisturize, Condition, Protect, and Enhance Curls",5.0 out of 5 stars,Amazing!!,Super great for curly or wavy hair!
8,"Not Your Mother's Curl Talk Frizz Control Sculpting Gel & Defining Cream (2-Pack) - 6 fl oz - Flexible Hold for Curly Hair - Moisturize, Condition, Protect, and Enhance Curls",2.0 out of 5 stars,Not impressed,I have wavy curls and heard this was a good product. It smells good but leaves my hair frizzy. I followed directions on both bottles but haven’t been impressed with results. I won’t be purchasing again.
9,"Not Your Mother's Curl Talk Frizz Control Sculpting Gel & Defining Cream (2-Pack) - 6 fl oz - Flexible Hold for Curly Hair - Moisturize, Condition, Protect, and Enhance Curls",4.0 out of 5 stars,Good product! Will buy again!,"User together, these products define little to med curls! No wet look!! Great for the price! Will buy again!"
