,Product,Rating,Title,Review
0,Not Your Mother's Naturals Curl Definition Shampoo and Conditioner (2-Pack) - 15.2 fl oz - Tahitian Gardenia Flower & Mango Butter - Moisturize and Enhance Curls,4.0 out of 5 stars,good for low porosity curls,"Ok 1. for ppl saying “description says 16 bottles” lol what? It says dual pack, 15oz ..dual means two and idk where anyone would think they’d get 16 if anything for $16. dont review poorly because you lack reading comprehension2. this smells amazing and makes my hair SO soft. but if u have high porosity hair u will have to add protein"
1,Not Your Mother's Naturals Curl Definition Shampoo and Conditioner (2-Pack) - 15.2 fl oz - Tahitian Gardenia Flower & Mango Butter - Moisturize and Enhance Curls,2.0 out of 5 stars,"First time use - good results, bad price","***Edit***I'm editing my original review because of something I just learned. Being new to CGM and the different products, I didn't realize that the price on this product was higher than it should have been. While visiting my local Walgreens, I found the exact same brand and sized bottles, 16 Oz, for $8 a piece. This seller is gouging customers by charging $30+ for the set! Absolutely unacceptable and while I will definitelycontinueusing the product, I will never purchase from this seller .***Smells really great without being too strong. After my first use, I was very happy with the curl outcome and will continue using. My only complaint is regarding the packaging. The pump is way too short and doesn't give enough product at one time. The product itself is great."
2,Not Your Mother's Naturals Curl Definition Shampoo and Conditioner (2-Pack) - 15.2 fl oz - Tahitian Gardenia Flower & Mango Butter - Moisturize and Enhance Curls,1.0 out of 5 stars,"Description says 16 bottles, but only got 2","This description said you would get 8 shampoos and 8 conditioners. So I paid the huge price for it. When it came, there was only one shampoo and one conditioner, and both pumps on the bottles were broken off. The description clearly says 16 bottles, and I would never have paid so much money for two bottles. Infuriating"
3,Not Your Mother's Naturals Curl Definition Shampoo and Conditioner (2-Pack) - 15.2 fl oz - Tahitian Gardenia Flower & Mango Butter - Moisturize and Enhance Curls,5.0 out of 5 stars,Great product and great value!!,"I absolutely love this shampoo and conditioner. My hair is so soft and moisturized after using it. I also love the scent!!! 10/10 recommend - great product foe the price.After following the curly girl method for about a year, I’ve come to a routine where I wash with the shampoo, rinse, rake conditioner through my hair, brush conditioner, and squish to condition (leaving most of the conditioner in my hair). I love the results! I won’t go back to any other shampoo I’ve tried before.I hope this helps!!"
4,Not Your Mother's Naturals Curl Definition Shampoo and Conditioner (2-Pack) - 15.2 fl oz - Tahitian Gardenia Flower & Mango Butter - Moisturize and Enhance Curls,4.0 out of 5 stars,Love the product but the pumps could be A LOT better,"I have wavy hair and I have been embracing the texture recently and using products that amp up the curl factor. I really love this shampoo/conditioner set. It smells amazing and it brings out my curls. My only issue is that the conditioner pump was broken when it arrived. I have to just take the lid off and squeeze it out during my showers. It wasn't worth it to me to try and send it back but it is an annoyance. The pumps themselves feel pretty cheap so I am not surprised that one failed before it even arrived. That being said, I do really like the product itself and I will probably continue to buy it, hopefully the next set works properly."
5,Not Your Mother's Naturals Curl Definition Shampoo and Conditioner (2-Pack) - 15.2 fl oz - Tahitian Gardenia Flower & Mango Butter - Moisturize and Enhance Curls,5.0 out of 5 stars,Curly girl method approved,Have been trying to do the curly girl method and these to products are approved and make my hair look great. I can get beautiful clumps of curls without having yucky buildup on my hair.
6,Not Your Mother's Naturals Curl Definition Shampoo and Conditioner (2-Pack) - 15.2 fl oz - Tahitian Gardenia Flower & Mango Butter - Moisturize and Enhance Curls,1.0 out of 5 stars,...,Item description clearly states 16 COUNT.  Only recieved 2. Never would have paid 34 dollars for this product.  It is a very good product but not good enough to be mislead by seller in description.
7,Not Your Mother's Naturals Curl Definition Shampoo and Conditioner (2-Pack) - 15.2 fl oz - Tahitian Gardenia Flower & Mango Butter - Moisturize and Enhance Curls,3.0 out of 5 stars,"Not ""natural ingredients"" and shampoo strips all the moisture","I'd skip the shampoo and find a more moisturizing one if you've got curlies. I'm unsure what I expected, it says natural but it's ""natural"" meaning, nah, bb this is all chemicals with a nice scent.It smells nice but I'm pretty sure I just spent $40 on drug store product. The shampoo completely strips my hair to the point it feels like straw and the conditioner works well...but would it work better if the poo didn't strip? Probably. Is it thick? I guess? Feels about the same as anything.I'm disappointed and I'll probably move this along to someone else."
8,Not Your Mother's Naturals Curl Definition Shampoo and Conditioner (2-Pack) - 15.2 fl oz - Tahitian Gardenia Flower & Mango Butter - Moisturize and Enhance Curls,4.0 out of 5 stars,Very moisturizing no protein,"So this shampoo and conditioner is great for people who are protein sensitive and need a lot of moisture. That is not me. I need a decent amount of protein in my routine and 2 months after purchasing my hair was over moisturized and lost a lot of volume. This is definitely a case of my hair not responding well to a good product and not that the product is bad. I would recommend this to anyone who is in protein overload or is protein sensitive, this is just not for me"
9,Not Your Mother's Naturals Curl Definition Shampoo and Conditioner (2-Pack) - 15.2 fl oz - Tahitian Gardenia Flower & Mango Butter - Moisturize and Enhance Curls,5.0 out of 5 stars,Great curl defining shampoo and conditioner!,"I have wavy, frizzy hair. When I started using this shampoo and conditioner I was a skeptic. Each time I wash my hair with Not Your Mother’s Naturals Curl Defining products I get luscious curls without frizz. It’s magical! I’ve never liked my hair down and natural but now I love it! My curls are so pretty and I no longer feel as though I have to wear my hair up in a ponytail to mask the kinkiness and waves."
10,Not Your Mother's Naturals Curl Definition Shampoo and Conditioner (2-Pack) - 15.2 fl oz - Tahitian Gardenia Flower & Mango Butter - Moisturize and Enhance Curls,5.0 out of 5 stars,So worth it!,Besides going to the salon to get your hair done I swear to you it's the best shampoo and conditioner I ever bought 😌 I'm so unbelievably happy with how my hair feels after a wash.. Also this is a great foaming shampoo unlike most where it feels like it just sits there. This feels like it goes right to my scalp making it feel oh so good... I could really go on and on but Give it a try you won't be disappointed I promise you.. i got the set for Curl Defining
11,Not Your Mother's Naturals Curl Definition Shampoo and Conditioner (2-Pack) - 15.2 fl oz - Tahitian Gardenia Flower & Mango Butter - Moisturize and Enhance Curls,3.0 out of 5 stars,Conditioner is weak,"The shampoo is really nice, lightly floral and fruity scented, slightly moisturizing.The conditioner is a flop, the consistency is a lot thinner than most conditioners. It feels like water and is barely even useful to detangle my hair in the shower. I tried letting it sit in my hair for a few minutes while washing up and it kinda just washes off really fast without feeling like it did anything. Found myself struggling to detangle my curls in the shower which is bad for a product meant for curly hair.Would recommend if you have thin of fine hair  since it's light weight and non greasy. Unfortunately if you have curly hair I'd recommend just getting the shampoo and finding a different conditioner."
