,Product,Rating,Title,Review
0,"SheaMoisture Strengthen and Restore Shampoo, Conditioner and Styling Lotion for Curly Hair Mixed Hair Care Regimen with Shea Butter 3 count",5.0 out of 5 stars,Made my course wavy hair manageable.,The Shampoo alone will soften your hair. Will have to wash twice the first time because it does break down all the old waxes you have in your hair and it will not suds up . the second wash will have lots of suds. The conditioner is very good and a little goes a long way. I love the Styling lotion that comes with this set. A small amount will keep your hair soft and manageable.
1,"SheaMoisture Strengthen and Restore Shampoo, Conditioner and Styling Lotion for Curly Hair Mixed Hair Care Regimen with Shea Butter 3 count",TOP 500 REVIEWER,VINE VOICE,"Shea Moisture Jamaican Black Castor Oil set comes with three products: Strengthen & Restore Shampoo, Strengthen & Restore Conditioner, and Strengthen & Restore Styling Lotion. All are made with a number of wonderful oils and other ingredients that are beneficial to hair. The shampoo is a dark brown liquid with a scent that reminds me of vanilla extract, a smell I love. The conditioner is a much thicker, about the consistency of pudding, and is light brown in color. It smells different than the shampoo, but equally as wonderful. The styling lotion is a light golden color and has a consistency about halfway between that of the shampoo and the conditioner. It doesn't smell as good to me as the shampoo and conditioner do, but it's still okay. All three of these products leave my hair very soft and manageable. I like these three items not only for their ingredients, but for what they don't contain: no sulfates, no parabens, no phthalates, no mineral oil, and no petrolatum. The shampoo and conditioner are each 13 fl oz (384 ml), and the styling lotion is 8 fl oz (237 ml). This set of three products currently lists for $30.11, which I consider very reasonable."
2,"SheaMoisture Strengthen and Restore Shampoo, Conditioner and Styling Lotion for Curly Hair Mixed Hair Care Regimen with Shea Butter 3 count",VINE VOICE,3.0 out of 5 stars,"SHAMPOO:The shampoo is pretty thin, so be careful with how you handle it. This shampoo is one of so very few shampoos that hasn’t made my hair mad. My hair actually likes this stuff. It will more likely than not become my go to shampoo for the days when I shampoo.CONDITIONER:This conditioner was alright. Not as good for my hair as the shampoo...but not nearly as icky as the styling lotion. I’ve had better and worse conditioners. This wasn’t really special in any measurable way. I doubt I would get this again. It’s not bad...it’s just also not good for my hair.STYLING LOTIONThis left my hair sticky and smelling powerfully weird. It latched onto any dust in the air that it came into contact with. This left my hair so dirty and gross that I had to wash it twice just to get everything out. That’s really saying something because I don’t really need to wash my hair that often.WOULD I BUY THIS SET AGAIN?No. I would not buy this set again. I would like to get JUST the shampoo, since it’s the only one in the set that I actually really liked."
3,"SheaMoisture Strengthen and Restore Shampoo, Conditioner and Styling Lotion for Curly Hair Mixed Hair Care Regimen with Shea Butter 3 count",VINE VOICE,5.0 out of 5 stars,"I have long, curly, chemically dyed hair that tends to get very dry if I don't use the right products on it. Even shampoos and conditioners that are advertised as moisturizing often dry my hair out.First of all, I love the SheaMoisture brand. It's great for dry hair.This particular shampoo/conditioner/styling product is wonderful.The curls you see in the picture are 100% natural. I washed my hair, used the conditioner, towel dried my hair then let it dry naturally. Then I put a tiny bit of the styling lotion to give it a little body.So, this trio is easy on the hair and brings out your natural curls.If I had really made an effort to style my hair, this product would have done a great job.Also, my hair feels very soft. The scent of the shampoo, conditioner and styling cream ( it's not a gel) is soft and subtle,  nice, not overpowering."
4,"SheaMoisture Strengthen and Restore Shampoo, Conditioner and Styling Lotion for Curly Hair Mixed Hair Care Regimen with Shea Butter 3 count",VINE VOICE,4.0 out of 5 stars,"As usual, Shea Moisture really shines at getting a scent that is wonderful!  This one is very pleasant smelling!  As for the products - you know, the shampoo/conditioner/styling lotion - I found that, for the price (currently just under 32 bucks), means that each bottle is about ten dollars, and for that price, you could do a bit better in quality depending on your needs if you wanted something more specific.  For us, we tend to lean more to the natural side of things, which this product, outside of the shea butter itself and some oils, is not.  The shampoo does have a nice lather and rinses easily, and the conditioner and styling lotion are equally good products - just not premium products, at least in our mind.  (Only mentioning it because they don't quite have the premium price, but are certainly close!)  Not bad stuff, would recommend to most folks."
5,"SheaMoisture Strengthen and Restore Shampoo, Conditioner and Styling Lotion for Curly Hair Mixed Hair Care Regimen with Shea Butter 3 count",VINE VOICE,5.0 out of 5 stars,"I love the natural ingredients used in these products. I primarily ordered them due to the clean ingredients, but I may keep ordering them for how well they work and for the fantastic scent! They smell absolutely lovely! I would bottle that scent and wear it as perfume! The products do a great job getting the hair clean while leaving the natural moisture. My toddler has curly hair and I'm always on the hunt for products that keep her hair moisturized and yet aren't full of a bunch of sketchy ingredients. This definitely fits the bill! I love the leave in conditioner included. That is an absolute must for my daughter's hair or it just looks super dry again in no time. It really seems to seal in the moisture well."
6,"SheaMoisture Strengthen and Restore Shampoo, Conditioner and Styling Lotion for Curly Hair Mixed Hair Care Regimen with Shea Butter 3 count",VINE VOICE,5.0 out of 5 stars,"My hair tends to be rather dry and thin/fine, so for shampoos I need something that actually delivers on promises of moisturizing. This wasn't my first go-around with SheaMoisture. I've used some of their body soaps and face cleansers before, and I've generally enjoyed each product, so it wasn't a surprise that I'd like this set of shampoo/conditioner/styling lotion as well. The shampoo and conditioner did a good job of giving my hair feel softer, fuller after a couple weeks of use. The styling lotion works, but I found the holding strength not quite enough for me. I do like the scent though, as faint and fleeting as it is."
7,"SheaMoisture Strengthen and Restore Shampoo, Conditioner and Styling Lotion for Curly Hair Mixed Hair Care Regimen with Shea Butter 3 count",TOP 1000 REVIEWER,VINE VOICE,"I have very curly hair that’s just past my shoulders and we have a variety of hair types in the family. Although I try to pull out from the sets the ones that are curly girl approved, not all of SheaMoisuture products are, the only one in the set is the Shampoo.I love the conditioner. I wash my hair daily but don't apply shampoo more than 1-2 times per week so it doesn't dry out my hair. The styling cream is a lite hold.I’ve used several of the SheaMoisture products and have had great success without spending a ton of money."
8,"SheaMoisture Strengthen and Restore Shampoo, Conditioner and Styling Lotion for Curly Hair Mixed Hair Care Regimen with Shea Butter 3 count",VINE VOICE,5.0 out of 5 stars,"This is a really great productTHE GOOD!-really great quality-great value and price!-package with love & care-THIS IS SUCH A GREAT BEAUTY PRODUCT! I FEEL GOOD ABOUT WHATS IN THIS PRODUCT! TRULY WORKS WONDERS!! GREAT SET, WOULD ALSO WORK GREAT AS A GIFTTHE BAD :(-absolutely nothing!OVERALL!-I highly recommend this product and will continue buying this product whenever I need something similar again! Trusted product and brand!"
9,"SheaMoisture Strengthen and Restore Shampoo, Conditioner and Styling Lotion for Curly Hair Mixed Hair Care Regimen with Shea Butter 3 count",VINE VOICE,5.0 out of 5 stars,"Generally, I do not use shampoo often because it is so drying.  This shampoo is not drying at all.  It is gentle and moisturizing.  It does have a scent but the scent is not strong and fades quickly.  The styling lotion is ok -  I need to use this with another product on my hair but I rarely can get away with a single styling product.  The more I try this line, the better I like it."
