,Product,Rating,Title,Review
0,"SheaMoisture Intensive Hydration Shampoo for Dry, Damaged Hair Manuka Honey and Mafura Oil Sulfate-Free 13 oz",1.0 out of 5 stars,Synthetic fragrance.,"While this is supposed to be free from pretty much everything, it's not free from synthetic fragrance (parfum). This brand I have bought many times before and it was scented with essential oils. It does not disclose this on the website. Disappointed I wasted my time in ordering this. Synthetic fragrances trigger my wife's asthma."
1,"SheaMoisture Intensive Hydration Shampoo for Dry, Damaged Hair Manuka Honey and Mafura Oil Sulfate-Free 13 oz",1.0 out of 5 stars,My original review was awesome,"Why exactly do companies CONSTANTLY have to change products that there is nothing wrong with.  I loved the first bottle it was thick creamy made my course dry thin hair feel amazing.  This last bottle(s) yep like an idiot I ordered 2 of them!!  So upset  I now have dry fuzzy hair again and thick and creamy went right out the window don't put too much of this in your hand or it will run right out and onto the shower floor.  The 1st bottle was amazing no product needed to finish hair after shower just pretty hair.  I never had scalp itch with the 1st bottle now my scalp itches constantly , way to go you saved some money,but you lost at least 1 customer in me.  It doesn't smell,feel or preform the same even my shoulders and back itch after the suds run over them after rinsing.  Do you know how long it took me to find a shampoo that worked this great.  You just don't know how upset I am.  My hair even feels thinner and I swear it is this shampoo.  I am going in search of another brand I can't even tell how much this stinks!!!!!!!!!!!!!!!!!!!!"
2,"SheaMoisture Intensive Hydration Shampoo for Dry, Damaged Hair Manuka Honey and Mafura Oil Sulfate-Free 13 oz",4.0 out of 5 stars,"Natural, budget-friendly and hydrating","I have 3B curly hair and used this for about 6 months. In that time, I noticed by hair was well-hydrated and kept good curl definition. I didn't feel like it dried out my hair when I used it every other day. I will say that after 6 mos, my hair grew used to it and no longer felt silky soft after every use, but I still use this to take a break from my other more expensive shampoo.Other things I like about this:- natural, non-harmful ingredients- excellent priceI recommend this for anyone who prefers more natural products and needs to retain as much moisture in their hair as possible"
3,"SheaMoisture Intensive Hydration Shampoo for Dry, Damaged Hair Manuka Honey and Mafura Oil Sulfate-Free 13 oz",3.0 out of 5 stars,Two different formulations,I've found that there are two different formulations of this shampoo. One has fragrance (essential oil blend) and the other has fragrance (parfum) which is also higher up on the list (i.e. more of it). I keep having to return the one with parfum--one from Target and this one from Amazon.
4,"SheaMoisture Intensive Hydration Shampoo for Dry, Damaged Hair Manuka Honey and Mafura Oil Sulfate-Free 13 oz",3.0 out of 5 stars,"Lathers well, smells great, free of most endocrine disrupting chemicals - but one huge concern...","This product lathers well, smells great, and is free of most of the big offenders when it comes to endocrine disrupting chemicals.However, the product I got has ""fragrance (parfum)"" in it.  See the images attached to this review for proof. I had contacted the company in advance because I was concerned about this (per other reviews I saw), and they stated ""The SheaMoisture Manuka Honey & Mafura Oil Intensive Hydration Shampoo is scented with an Essential oil blend. The product is the same if you purchase it from our website or amazon."" Per their recommendation, I bought this product.But, their statement is just not true. I have to rate this product three stars because the company misled me and their product can contains fragrance (parfum), which is considered an ""undisclosed mixture of various scent chemicals and ingredients that were used as fragrance dispersants ... such as diethyl phthalate""."
5,"SheaMoisture Intensive Hydration Shampoo for Dry, Damaged Hair Manuka Honey and Mafura Oil Sulfate-Free 13 oz",5.0 out of 5 stars,Smells great and moisturizing,"I bought this shampoo for my dry hair, and I love it! My entire family started using my bottle because it smells so great, so I had to purchase an additional bottle. It has made everyone’s hair feel and smell wonderful! Love that it is free of the bad stuff found in most shampoos. Worth the price for us."
6,"SheaMoisture Intensive Hydration Shampoo for Dry, Damaged Hair Manuka Honey and Mafura Oil Sulfate-Free 13 oz",4.0 out of 5 stars,Moisturizing and long lasting,I would recommend this shampoo for natural hair that is really dry. It leaves my hair really soft and easy to comb. It will last really long because it is thick and doesn't need a lot to work. After one use i was amazed at how little had gone from the bottle. My 2 bottles should last me the whole year
7,"SheaMoisture Intensive Hydration Shampoo for Dry, Damaged Hair Manuka Honey and Mafura Oil Sulfate-Free 13 oz",5.0 out of 5 stars,"Soft shiny hair, no chemicals to irritate the scalp","I love that it is all natural. So many shampoos today have so many chemicals and they make my head itch or even get a rash. This product doesn't lather well, but as a hairstylist I know, its is still getting my scalp clean and moisturized! Lather doesn't mean clean it's the end result.... and my hair is soft and shiny with no conditioner!love this product"
8,"SheaMoisture Intensive Hydration Shampoo for Dry, Damaged Hair Manuka Honey and Mafura Oil Sulfate-Free 13 oz",5.0 out of 5 stars,Suds enough for me!,"This is my second purchase of this product. Although this doesn't suds up like market-bought shampoos, it sudsed quite sufficiently for me and leaves my hair feeling smooth - even before I use a conditioner. I think it actually helps my hair appear less frizzy as well -- a quality I really appreciate."
9,"SheaMoisture Intensive Hydration Shampoo for Dry, Damaged Hair Manuka Honey and Mafura Oil Sulfate-Free 13 oz",5.0 out of 5 stars,Real quality,"I would highly recommend this product.  I have color treated hair and have had some issues with dryness and tangling.  After using this shampoo, conditioner and the intensive conditioner my hair is so full and less tangled, I can feel the added moisture too."
