,Product,Rating,Title,Review
0,SheaMoisture Hydrate & Repair conditioner For Damaged Hair Manuka Honey & Yogurt Shea Butter Shampoo and Conditioner 13oz,1.0 out of 5 stars,Very drying!!!!,I was quite disappointed with this product. I have used Shea Moisture for quite a while and always loved their products but this one I returned. The shampoo had a great lather but does leave your hair feeling stripped. Conditioner is very this and does not have good slip. Even after using a lot of conditioner this product left my hair very frizzy and dry which I do not have a big problem with. I purchased these for my niece and after trying them decided not to keep.
1,SheaMoisture Hydrate & Repair conditioner For Damaged Hair Manuka Honey & Yogurt Shea Butter Shampoo and Conditioner 13oz,5.0 out of 5 stars,Packaging needs to be better.,"This is a good product, but I would recommend purchasing in stores do to the packaging and how much product was wasted!!"
2,SheaMoisture Hydrate & Repair conditioner For Damaged Hair Manuka Honey & Yogurt Shea Butter Shampoo and Conditioner 13oz,5.0 out of 5 stars,Love it,Love this stuff it’s authentic and combs my hair out very well. I’m African American
3,SheaMoisture Hydrate & Repair conditioner For Damaged Hair Manuka Honey & Yogurt Shea Butter Shampoo and Conditioner 13oz,3.0 out of 5 stars,Makes my hair crunchy,"I love the smell of the product and the bottles are a decent size. At first I thought I wasn’t rinsing my hair great because it was feeling crunchy after I let it air dry. I thought it was the conditioner, so I stopped using it and it kept happening. I made extra sure I had rinsed it all out, which then made my hair feel a little dry and tangled after and it still happened. Not sure what’s happening.. I’ve never had the issue before. My hair has also been feeling greasy quicker than usual. It’s not a bad product, but I was hoping it would be better."
4,SheaMoisture Hydrate & Repair conditioner For Damaged Hair Manuka Honey & Yogurt Shea Butter Shampoo and Conditioner 13oz,5.0 out of 5 stars,This shampoo and conditioner will save your hair!,This is the best shampoo ever! I love the scent and it’s makes my hair so soft. The conditioner is light weight so it may seem like your hair isn’t silky in the shower but I promise when you get out and your hair dries it will be softer and shinier. Repaired my bleached damaged hair after one wash!!! I will buy over and over again!
5,SheaMoisture Hydrate & Repair conditioner For Damaged Hair Manuka Honey & Yogurt Shea Butter Shampoo and Conditioner 13oz,1.0 out of 5 stars,Very disappointed,I bought this shampoo hoping it would give my hair some moisture and softness. But first it didnt smell that great and second it made my hair so dry and brittle it was breaking. It was hard as hell to brush my hair when using this. Even using a ton of  conditioner. I also noticed my hair falling out alot more. I will not be buying again.
6,SheaMoisture Hydrate & Repair conditioner For Damaged Hair Manuka Honey & Yogurt Shea Butter Shampoo and Conditioner 13oz,5.0 out of 5 stars,Smells Amazing! Feels lightweight once dried!,"The media could not be loaded.
                




   Also bought the Shea Moisture Hydrate & Repair Manuka Honey & Yogurt Shea butter  Leave in Treatment! Smells so yummy! I received many compliments on my curls! I’m so glad I bought these! I have 3B type curls! Showed a vid of results when wet and a picture of results when dried. (2nd day curls)  Once dried left my hair lovely and lightweight and fluffy not like Ramen noodle crispy curls!"
7,SheaMoisture Hydrate & Repair conditioner For Damaged Hair Manuka Honey & Yogurt Shea Butter Shampoo and Conditioner 13oz,3.0 out of 5 stars,Decent clean beauty shampoo,"Recently I’ve been trying to switch all of my products to clean beauty options. Shea moisture is one of the brands that offers clean ingredient shampoo at a reasonable price. This shampoo is decent, but my hair does not feel soft or healthier versus other shampoos I’ve used in the past. But for it being a clean product, and not many options in that price point.. it’ll do!The smell is hard to describe, not bad or good. Very neutral."
8,SheaMoisture Hydrate & Repair conditioner For Damaged Hair Manuka Honey & Yogurt Shea Butter Shampoo and Conditioner 13oz,4.0 out of 5 stars,Very nice,"I’ma fan of Shea Moisture. This isn’t my favorite as far as the scent goes, but the shampoo is thick and creamy and foams up deliciously. The conditioner leaves your hair feeling soft and is easy to comb thru. It stays soft for me even after it’s dry, whether I air dry it or blow dry it. Being someone with sensory issues, that really makes a difference to me (Pat)."
9,SheaMoisture Hydrate & Repair conditioner For Damaged Hair Manuka Honey & Yogurt Shea Butter Shampoo and Conditioner 13oz,5.0 out of 5 stars,Great product!,I loved these! I found the conditioner to not have that “slip” effect but I just put my hand with conditioner in water and then smoothed it in and it worked better. It’s been a couple days since I’ve washed my hair it still smells fresh and it’s so soft! I have curly hair which is hard to keep moisturized and it surprisingly doesn’t feel dry!! I will be ordering again!
