,Product,Rating,Title,Review
0,"Squeaky Clarifying Cleanser, 8 oz",4.0 out of 5 stars,"Great product, but a bit of a warning","I really liked this product! It was great for my hair and I noticed that it would feel less oily even the day after using it. I normally wash daily and have oily, thin hair (type 2b-c). I am hesitant to order it again because I ordered the larger bottle version through the Uncle Funky’s website, and I found that it was entirely a different formula than what this smaller bottle had, and left my hair a tangled mess before I conditioned it massively. Since I don’t know if Uncle Funky’s has just changed the formula for the shampoo entirely, or if I happened to get a bad batch (and their website didn’t have contact information), I’m giving it 4 stars and a bit of a warning. I would love to use the first version of the product again, though. Absolutely the best shampoo I’ve ever used."
1,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,I love this shampoo!!,I will forever use this kind of shampoo til I find something better. (hard to do) I love the way it smells while I shower and how it leaves my bathroom smelling so good too! it for sure makes my scalp tingle if I leave it in for about 5 minutes which I looooove cause 1. it feels really good and 2. it really cleans the oils and sweat from my hair!! It also leaves my hair suuuuuper SOFT and gets my curls POPPIN!
2,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,best ever,"Amazing stuff!  I have dry, thin, low porosity, straight hair.  I can use this without conditioner which is a first for me.  It almost isn't strong enough to get rid of all the grease, but I would prefer that to over drying!"
3,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,Amazing Product,I had a Really Dry itchy scalp and just received my order today and used it and my hair is no longer Dry and itchy Thank God 💯I will say my hair was so tangled after use it did not detangle my hair but that's okI will definitely order againProbably next time off The Actual website to see if there is a differenceAlso when I used it I wet my hair and left on for 5 min and it's so refreshing and smells good 👍🏼
4,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,The best shampoo for my locs,I love this shampoo for my small locs
5,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,Great Texture,"Like the texture,  smell  also detangles hair & only had to use small amount  to wash hair.  Great product"
6,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,Five Stars,"This is the best gel ever,  I love it and this was my second bottle."
7,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,LOVEEEEE,First time using it and I loved it. Felt so good in my scalp. Felt so clean. I love it.
8,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,Great Clarifying shampoo,"This is a Great Clarifying Shampoo, clean my scalp and didn't dry my hair out. My hair was easy to detangle."
9,"Squeaky Clarifying Cleanser, 8 oz",3.0 out of 5 stars,Dry Hair,"I love this companies products, but this product dried out my hair."
10,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,Forever staple product,"This product is perfect and it dosent strip my hair, it feel so good especially when u used it with a scalp massager"
11,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,Cleanses hair very well with a small amount of the shampoo!,Shampooing hair! It's an excellent shampoo. You don't have to use a lot to cleanse hair. It has menthol as one of the ingredients which makes scalp tingle I love that feeling. It feels so good! It's very concentrated! My hair is supppppeer..soft after shampooing. I'm in love with this product! Thank you!
12,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,It does what it says. Simple!,I suffer from a severe itchy scalp & this product definitely soothed the itch without leaving my hair completely stripped. Officially keeping this shampoo in my wash day regimen.
13,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,The Best Shampoo Out,I’ve been using this shampoo for the past year now and love it! It’s the only shampoo that really cleans my hair without stripping it. Hair feels moisturized and clean after washing with this!
14,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,Amazing sensation,"This shampoo is great, it easily remove my build up and I feel like it detox my scalp."
15,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,Great products,I liked the scent very much and the ingredients used helped cleanse my scalp more easily
16,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,Five Stars,Probably​ one of the best shampoos I've ever used. It tingles your scalp and leaves its squeaky clean. Should be in every curly girls hair stash.
17,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,Five Stars,"Love, love this item! Will buy again!"
18,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,It’s a great product!,Shampoo gives you a thoroughly cleansed feeling to your scalp.
19,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,Excellent,Love it
20,"Squeaky Clarifying Cleanser, 8 oz",1.0 out of 5 stars,Go buy Come Clean instead,"Not a good clarifying cleanser! You'll barely feel a tingle. It's so watered down. This product now contains several silicones!!!!!!! The original owners are probably screaming at how bad this product line has become. I'd recommend Egyptian Wheatgrass by Qhemet Biologics for ""squeaky"" clean hair, followed by QB's conditioner or Come Clean by Kinky Curly for a gentle clarifier that does not strip."
21,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,Super Shampoo/Cleanser,Natural products; cleans very well; smells amazing
22,"Squeaky Clarifying Cleanser, 8 oz",4.0 out of 5 stars,Funky is right!,"Really good non-foaming shampoo/cleanser. Gets rid of product build up without stripping, and it’s great for a mid-week refresh. My only serous complaint is that it smells a little... well, funky. And not in a good way. It’s funky like an old hippie. Not really what I want my hair to smell like."
23,"Squeaky Clarifying Cleanser, 8 oz",5.0 out of 5 stars,New fav,I'm really enjoying this shampoo It makes your hair feel squeaky clean just like it's supposed to work.
