,Product,Rating,Title,Review
0,Curly Magic,5.0 out of 5 stars,Product is amazing... BUT BUY THE 12OZ not 18OZ,"before I tell you how good the product is-- BUY THE 12OZ!! Not the 18oz. It is cheaper per ounce.the 12 oz is usually $15.the 18 oz is usually $30... paying twice as much for only 1.5 times the product!I've found local places and Target are reliable for the good price on the 12 oz.Okay... this was my first new hair gel try in years that I have loved.I have 3a hair and have used the ""Curls"" blueberry and passionfruit gels and other products for probably 6 years. I wanted to try out some new products after seeing so many more on Tiktok that weren't available in my local stores curls section.This is INCREDIBLE!! My curls have never looked shinier and better. It holds well but softly, smells so good, and lasts forever. I bought this 18 oz for $30 in March or April 2020 and it lasted until January 2021. Almost a whole year. I have had very short hair for most of this year, but I am a notorious over-producter (the curls need moisture!!) and I use a pump or two everyday. I am obsessed."
1,Curly Magic,5.0 out of 5 stars,The best!,Love this product! My stylist recommended I use it and now I'm hooked on all of their products.I was using DevaCurl before this and there was a lot of build up and residue on my scalp from the creme leave in.I use uncle funky's after the shower now and my hair feels light and soft. My curls don't get fuzzy and I can make them last for multiple days. I wear my hair short and have tight curls. I've given it to friends with long hair and they love it too. It's also really great to smooth down edges and get a clean pony-tail. Could not recommend more :)!
2,Curly Magic,4.0 out of 5 stars,Soft Long-Lasting Curls,"The product does work, but I have an afro so it's a little limited. If you have hair like mine, don't expect bangin' poppin' bouncy curls. It more brings out your natural curl pattern and your hair will be soft. I've found it work best if you put your sopping-wet-freshly-washed hair in sections and do at least a pump per section (smaller sections, not quarters, go root to tip) and diffuse (blow dry) your hair until it's not wet and sticky (it can air dry the rest of the way) so that the product sets the curls nicely and the curl pattern holds strong for up to a week. Overall, I'm happy with the product and I will order again."
3,Curly Magic,5.0 out of 5 stars,Wash n go,Great for wash and go. Needs hair to be dripping wet. Check YouTube for vids on application.
4,Curly Magic,2.0 out of 5 stars,Ingredients added protein and glycerin,"I started using this product about a year ago because it was one of the few protein, glycerin and coconut free products I could find for my kids’ low porosity hair hair. I was so pleased with the softness and hold with fantastic ingredients, no bad preservatives. Then their hair started to feel dry a few weeks back with nothing changed in our hair routine. I finally took a look at the ingredient list and saw that they added wheat protein and glycerin and took out chamomile extract. Basically added the stuff I was so pleased it did not have. It finally made sense why I was struggling suddenly. Protein hardens my kids hair and now it’s one of the top ingredients. *sigh* why can’t these companies stick to the original formula? It’s already so hard to find protein free products out there. I will not be purchasing again."
5,Curly Magic,5.0 out of 5 stars,Great for Wavies too!,I have wavy 2c/3a hair and after 25 years of straightening my hair have decided to embrace my natural waves and curls. This is awesome. I only have to use 2-3 pumps for my entire hair and I follow with a light gel for some extra hold. This does not leave my hair hard or crunchy and helps me get more defined curls. Definitely a go to for me.
6,Curly Magic,5.0 out of 5 stars,"Excellent for fine hair, chemically curly hair, or wavies!",I have very fine hair that is permed. I struggle to find products that enhance my curls without weighing them down since I'm not a natural curly. This stuff is excellent! It leaves a great cast and my curls look so defined and bouncy after I scrunch out the crunch! I just use it over my Blueberry Bliss Leave In and I'm good to go!
7,Curly Magic,5.0 out of 5 stars,My go to for my wash & goes,I have tried many products when it comes to wash & goes and I can honestly say that Uncle Funky's Curly Magic Curl Stimulator is exactly what my hair needs. I live in AZ where the weather is hot and dry. This products adds tons of moisture  to my hair and my wash & goes last longer. I have seen a definite change in my hair health. I love it!
8,Curly Magic,5.0 out of 5 stars,"No flakes, no flakes, hurray","Love, love, love Curly Magic! No flakes on my wash and go, plus it really gave me an all week hold! Curls were still in place at the end of the week and not hard and crunchy. Do you know what that means for someone who is truly busy! Can't wait to try this on a twist out."
9,Curly Magic,5.0 out of 5 stars,Curling Gel Dream,"First off, this product is a GEL and not a curl cream or anything of that variety. I thought it was a curl cream but when I realized it was a gel I still gave it a try, and wow!! I have about 2A -B hair most days and this easily transformed my natural waves into CURLS. The pictures are from the previous day using my normal products and the next day only changing out my normal gel for Uncle Funky's. What a difference it made! The gel cast was good, not crazy firm but still good. The smell is fairly strong when applying, but I can't smell it on my hair at all now. You do get a big bottle so I feel like the price is worth it for how well it works. I'm very pleased with this product and would gladly purchase more!"
10,Curly Magic,4.0 out of 5 stars,Love the product but received an open bottle.,"I want to start by saying I love this product.Originally I bought the trial size from target and thought I hated it because I applied it to damp hair and it didn’t have that slippery feeling.Then I went to a coily hair stylist (earnestlynatural in Raleigh, NC) and she taught me 1) reading is fundamental and 2) always apply in the shower, to soaking wet hair.. like the bottle says.So after she performed actual magic on my head (see last photo) I decided to get the product for myself so I can start doing my own wash and goes. I ordered a full sized bottle but when it arrived, as you can see, the product was spilling out of the container. This gel isn’t cheap (rightly so), so any product loss feels like a waste of money. I am currently working on getting a refund and reordering so hopefully I have better luck with the next shipment.Also last thing, I highly recommend looking up Iamblackgirlcurl, throw out the lco and loc methods, and change your life."
11,Curly Magic,1.0 out of 5 stars,New different formula,"The new formula has jojoba oil as the fourth ingredient, the old one has none of this ingredient. They also added glycerin as the second ingredient. It was also not present in the old formula. Why did they tamper with it? It was legendary."
12,Curly Magic,5.0 out of 5 stars,This is the BOMB!!,"1st, Hair Type: I have 2C-3A hair that falls about mid-back. 2C-3A hair means tighter waves with loose ringlets mixed in.2nd, The Search: I have searched, and researched and purchased product after product looking for that golden ring of hair products. (Its a reference. Look it up) Products that don't have phosphates, parabens, silicones etc, don't leave me with ramen noodle hair, or look greasy, or feel sticky, or smell like Mrs. Marcus's dollar store Floral Delight perfume that she pours all over herself before she sits down in the church pew right in front of me. Every time. I swear, that woman must have brain damage from the fumes by now.3rd, Discovery!: Uncle Funky's Daughter Products! The Curly Magic is just that, MAGIC BABY!! It has none of the bad ingredients and smells great.  It is a gel, but acts more like a custard. It provides great wavy curl hold without frizz. It does not feel sticky or gunky. No greasy, I used way too much product, look either.Uncle Funky's Curly Magic is exactly the curly gel I was looking for.All hair is different of coarse, but I cannot recommend this enough.Another Uncle Funky's Daughter product you should try is the Heal and Renew mask. Excellent!!"
13,Curly Magic,5.0 out of 5 stars,Full bouncy curls,This is amazing to help bounce and spiral curls for my type 3A type curls (works best on my wet hair) and then defuse for crunchless curls. Love this and the thirsty curls for next day curls.
14,Curly Magic,5.0 out of 5 stars,Best Product Ever!!,"I began using this product went I first went natural 8 years ago. It was my staple product, I them backtracked and now I'm beginning a new hair journey with this amazing product again. It truly moisturized my hair from root to tip and keeps a gorgeous shine. I also use it on my 6 year old daughter's hair. 100% natural ingredients and it shows."
15,Curly Magic,5.0 out of 5 stars,"Seriously, Saw This On TikTok","I saw this on TikTok and loved the results so I gave it a try.  I have 2C-3A, color treated and highlighted hair and it can be a challenge to set and hold a curl sometimes.  I used this in conjunction with a generic firm hold gel, raked it through wet hair, plopped for a half hour and then dried with an infrared diffuser.  FRIZZ IS NON-EXISTENT!!!!  I was amazed! I got decent volume with no frizz and I can get several days out of a single style by using a satin night cap and lightly spritzing with water, scrunching in more curly magic in the morning, and diffusing again.  This product just took a huge chunk out of my morning routine and has left my hair looking extremely healthy while defining and holding my curls.  Try it - it's worth the dollars!"
16,Curly Magic,5.0 out of 5 stars,Defined Curls!,My stylist recommended this product. I can use it after rinsing out conditioner without applying a Leave-in in first. It is great for fine hair like mine.  Love the definition!!
17,Curly Magic,1.0 out of 5 stars,White Dust Galore,"If you want to shower everyone with white dust every time you turn your head too fast, this is the product for you. Smells good, looks ok- but the white cloud of dust hovering around me is just too much drama. Forget wearing black or dark colors unless you like the dusty look there too."
18,Curly Magic,5.0 out of 5 stars,Pure Magic!,"I wasn’t certain what to expect from using Curly Magic as I have fine, thin, wavy-when-it-feels-like-it hair.  My hair has gotten thinner and more damaged looking over the last year, likely due to pandemic-fueled stress and normal aging.  Anyway, I bought this a week or so ago, and cannot believe how much my hair has changed!  I have my waves back, and my hair is glossy and healthy looking.  I also started using Uncle Funky’s Daughter Shampoo at the same time, but I know that this was the “key” to my lost waves.Application suggestion:  My first try with this didn’t give great results, but that is because there is a bit of a learning curve with any product and I wasn’t using enough.  I went from using 1 pump to 3 and that made all of the difference!  I don’t use any conditioner, as this and the shampoo together are conditioning enough.  Thank you so much for an amazing product!"
19,Curly Magic,5.0 out of 5 stars,Painfully Worth Every Penny,"After communicating an error in the size of the product that I received vs. the size I had ordered, the seller has graciously and generously corrected the issue.  So, now I can say, this product works wonders for those of us with VERY curly, VERY thick, VERY full, VERY coarse; and LOTS of hair!! It takes only a small amount in comparison to similar products, you'll have to adjust for your particular type of hair.  It moisturizes and has a nice, soft hold and can be refreshed for a couple of days with a spritz of water. So, while the upfront investment may seem a bit steep, you should be able to justify the cost with performance and staying power."
20,Curly Magic,5.0 out of 5 stars,Really good stuff,"I have 2b - 3a hair, straightish underlayer, just past shoulder length hair. Medium porosity and fairly protein sensitive. I try not to use too many products with Shea butter and hydrolyzed proteins, or at least not all at once, to make sure the moisture/protein ratio stays balanced so my hair doesn't feel like straw.My current routine is to squeeze out extra water in the shower but don't use a towel to dry. I emulsify and rake through Shea moisture curl enhancing cream, then use a small amount of mop top jelly on areas that need a bit of extra sealing (I get bad crown frizz), then a couple quarter sized amounts of curly magic from ends up, squishing and scrunching, then diffuse.Because my hair is only wavy in sections I prefer to use a strong hold gel that leaves a cast so the curl pattern holds up when I scrunch out the crunch later in the morning. I can also wait to scrunch later in the day if I want to preserve the hold for a night out because this dries without the ""weird Al"" effect. My hair is absolutely beautiful either way, no flaking!! It is similar to kinky curly custard in this way, but for me the results are softer overall.The very few cons: I find is that the cast doesn't come back if I refresh with a bit of water... Maybe this is due to less nettle? Not sure, but this definitely isn't enough to detract from it's overall performance in my opinion. Also, if I scrunch out too much crunch I can tend to get frizzy pretty quickly so maybe I just need to add a drop of jojoba oil to the routine. Lastly, because this so easy to scrunch I tend to get residue on my hands that becomes sticky in any kind of moisture, and I really really hate having sticky hands.One of my favorite things about this product is how versatile it is. I can layer it on top of pretty much anything and it helps generally with extra hold and frizz containment. That being said, those who need additional frizz prevention might benefit from something additionally emollient to seal the cuticle, especially if diffusing."
21,Curly Magic,4.0 out of 5 stars,love/hate relationship,"I really want to love this product. I use it with Supercurl and it definitely elevates the type of curl (i’m usually 2b/c), making them big and bouncy. It’s very different from my normal look (people actually comment asking what I’ve used/done), but they stay light and relatively nice to touch (I do not like feeling product in my hair. I can feel this, but it’s tolerable).However, this is single day product to me. I’ll wash my hair in the morning, use both products, and need to wash it when I get home. If I don’t wash it, the next day it feels a bit gross (almost slimy and clumpy) and gets very tangled, which is not a normal issue for me. Despite this, I would recommend because I know I can use it in a pinch."
22,Curly Magic,5.0 out of 5 stars,Best hair gel I’ve ever used!!!,"This gel is AMAZING!!! It’s cruelty free and full of good stuff like ALOE(2 Nd ingredient!), marshmallow, nettle and vitamin E. It’s SUPER light but sooo moisturizing and rich at the same time. It’s the first thing I’ve tried that allows me to do a wash & go! Once it dries just a rub through my hair removes the light cast, and my hair super soft. A must have if your hair is fine (I’m mixed with 3c curls). I just did the “big chop” and couldn’t find ANYTHING that worked for me until this— I LOVE IT!!!"
23,Curly Magic,5.0 out of 5 stars,Smells nice and does its job well!,"First of all, I love the natural ginger-y scent of this product. It's very fresh and not artificial. Indo need to be careful with this product as my fine, wavy hair will get over moisturized if I use this with a leave- in or use too much. After playing around with amount and other products to use it with (and even by itself) I have found that it provides a light cast (crunch) in my hair that can easily be scrunched out, it refreshes nicely on day 2 and 3. And it does stimulate more curls. I really enjoy this product."
24,Curly Magic,2.0 out of 5 stars,Wasted money on another bad product,"It didn’t work on my coarse, 3a curls at all! It had promise. When wet, it immediately felt stiff and clumped my curls. As soon as I started to diffuse, frizz started to separate out of the curls. Now that it’s almost dry, there essentially are no curls. It’s just a big, soft, fluffy mess. I have very low porosity, very dry hair. There is normally no such thing as too much moisture for me, so I don’t think that’s it. I have no clue what this product did to me, but I absolutely hate it. It is WAY over priced and simply NOT worth it."
25,Curly Magic,5.0 out of 5 stars,Magic!,"I don't know how long I have waiting for the holy grail of hair care products for my tresses, but I have finally found it! This stuff truly is magic in a bottle. I love the smell, the slip, definition and the hold. Since following the ""Wash Your Damn Hair"" hair care routine : Shampoo, condition and Curly Magic are all I need as a natural and my hair, sanity, and time, is better for it."
26,Curly Magic,5.0 out of 5 stars,Love Curly Magic!!,"This gel makes my 4c coils pop, pop, POP!!Absolutely love this product and it does not dry out my hair, unlike some other gels.  On the contrary, it keeps it moisturized.  It has really been a wonderful addition to my healthy hair routine."
