,Product,URL,Image
0,As I Am Double Butter Cream - 8 Ounce - Rich Daily Moisturizer - Soft and Shiny Curls and Coils - Repairs Split Ends - Strengthens Hair - Enriched with Pro-Vitamin B5,https://www.amazon.com/As-Am-Double-Butter-Moisturizer/dp/B007IVRASY/ref=sr_1_1?keywords=As+I+Am&qid=1650573896&refinements=p_89%3AAs+I+Am&rnid=2528832011&s=beauty&sr=1-1,https://m.media-amazon.com/images/I/81ZUb01XBhL._SX679_.jpg
1,As I Am Curling Jelly - 16 Ounce - Curl & Coil Definer - Hi-Definition and Shine - Anti-Shrinkage and Stretches Curls - Anti-Frizz - Flake Free Formula,https://www.amazon.com/As-Am-Curling-Jelly-Ounce/dp/B006J9BCZ8/ref=sr_1_2?keywords=As+I+Am&qid=1650573896&refinements=p_89%3AAs+I+Am&rnid=2528832011&s=beauty&sr=1-2,https://m.media-amazon.com/images/I/71GYyoYxWlL._SX679_.jpg
2,"As I Am Dry and Itchy Scalp Care Oil Treatment - 4 ounce - Enriched with Salicylic Acid, Olive Oil, and Tea Tree Oil - Fights Dandruff, Seborrheic Dermatitis, and Psoriasis",https://www.amazon.com/Am-Olive-Tea-Tree-Treatment/dp/B07KYV2CBJ/ref=sr_1_3?keywords=As+I+Am&qid=1650573896&refinements=p_89%3AAs+I+Am&rnid=2528832011&s=beauty&sr=1-3,https://m.media-amazon.com/images/I/412mPChzKML._SX679_.jpg
3,"As I Am So Much Moisture Classic Lotion, 8 Fl Oz",https://www.amazon.com/As-Am-So-Much-Moisture/dp/B00K8BXAWG/ref=sr_1_4?keywords=As+I+Am&qid=1650573896&refinements=p_89%3AAs+I+Am&rnid=2528832011&s=beauty&sr=1-4,https://m.media-amazon.com/images/I/612HUM+PdRL._SX679_.jpg
4,"As I Am Long and Luxe GroYogurt Leave-In Conditioner - 8 Ounce - Moisturizes and Hydrates Curls and Coils - Enriched with Yogurt, Pomegranate, and Passion Fruit",https://www.amazon.com/Long-GroYogurt-Leave-Conditioner-Ounce/dp/B079ZLMW8B/ref=sr_1_5?keywords=As+I+Am&qid=1650573896&refinements=p_89%3AAs+I+Am&rnid=2528832011&s=beauty&sr=1-5,https://m.media-amazon.com/images/I/71tnL0b20LL._SY879_.jpg
5,As I Am Leave In Conditioner - 8 Ounce - Conditions and Softens Curls & Coils - Moisturizes and Strengthens Hair - Prevents Tangles - Eases Wet Combing - Seals Cuticles,https://www.amazon.com/As-Am-Leave-Conditioner-Ounce/dp/B0065R18TY/ref=sr_1_6?keywords=As+I+Am&qid=1650573896&refinements=p_89%3AAs+I+Am&rnid=2528832011&s=beauty&sr=1-6,https://m.media-amazon.com/images/I/71mrwDT0zcL._SY879_.jpg
6,As I Am Jamaican Black Castor Oil Conditioner,https://www.amazon.com/As-Am-Jamaican-Castor-Conditioner/dp/B07YX9ZCH6/ref=sr_1_7?keywords=As+I+Am&qid=1650573896&refinements=p_89%3AAs+I+Am&rnid=2528832011&s=beauty&sr=1-7,https://m.media-amazon.com/images/I/81OZLWrht6L._SY879_.jpg
7,JBCO Curling Creme,https://www.amazon.com/As-I-Am-Curling-Creme/dp/B083ZHZCMH/ref=sr_1_8?keywords=As+I+Am&qid=1650573896&refinements=p_89%3AAs+I+Am&rnid=2528832011&s=beauty&sr=1-8,https://m.media-amazon.com/images/I/71Tb0-h9RNL._SX679_.jpg
8,"As I Am JBCO Water - 16 ounce - Nano Curl Strengthener - Moisturizes and Detangles - Anti-Frizz - Increases Fiber Strength - Enriched with Jamaican Black Castor Oil, Vitamin C, and Vitamin E",https://www.amazon.com/As-Am-JBCO-Water-Strengthener/dp/B07XPFTGHR/ref=sr_1_9?keywords=As+I+Am&qid=1650573896&refinements=p_89%3AAs+I+Am&rnid=2528832011&s=beauty&sr=1-9,https://m.media-amazon.com/images/I/71+0mX5--wL._SX679_.jpg
9,"As I Am Smoothing Gel, 8 Ounce",https://www.amazon.com/As-Am-Smoothing-Gel-Ounce/dp/B007IVTA0U/ref=sr_1_10?keywords=As+I+Am&qid=1650573896&refinements=p_89%3AAs+I+Am&rnid=2528832011&s=beauty&sr=1-10,https://m.media-amazon.com/images/I/81sgT26WpqL._SX679_.jpg
