,Product,URL,Image
0,"Curls Blueberry Bliss Reparative Hair Wash, 8 Ounces",https://www.amazon.com/Curls-Bliss-Reparative-Hair-Blueberry/dp/B01M3VSH3K?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/51fEHt4Sq1L._SX679_.jpg
1,"Curls Blueberry Bliss Reparative Leave In Conditioner, 8 Ounces",https://www.amazon.com/Blueberry-Reparative-Leave-Conditioner-Ounces/dp/B01AZT1SK6?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/51KUKtshaYL._SX679_.jpg
2,Curls Blueberry Bliss Curl Control Jelly (8 Ounce),https://www.amazon.com/Curls-Blueberry-Bliss-Control-Jelly/dp/B00UTUTX9U?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/51jfKUKIsML._SX679_.jpg
3,"Curls Blueberry Bliss Curl Control Paste, 4 Ounces",https://www.amazon.com/Curls-Paste-Blueberry-4-Ounce/dp/B00Q3L4VY6?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/51L4U5--h5L._SX679_.jpg
4,"Curls Blueberry Liquid Hair Vitamin, 8 Ounces",https://www.amazon.com/Curls-Blissful-Lengths-Liquid-Vitamin/dp/B075KHKGSV?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/51hgzSV7E9L._SX679_.jpg
5,"Curls Blueberry Bliss Repair and Grow Curl Sculpting Mousse, 5.75 Ounces",https://www.amazon.com/Curls-Blueberry-Repair-Sculpting-Mousse/dp/B07FLGHCX1?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/71C4WjmRAfL._SX679_.jpg
6,"Curls Aloe & Blueberry Juice Curl Moisturizer, 8 Ounces",https://www.amazon.com/Curls-Aloe-Blueberry-Juice-Moisturizer/dp/B075FW8WZ8?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/51YiKrIFYYL._SX679_.jpg
7,"Curls Blueberry Hair and Scalp Oil, 4 Ounces",https://www.amazon.com/Curls-Bliss-Hair-Growth-Blueberry/dp/B01EXNIJTI?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/419gM7g4O2L.jpg
8,"Curls Blueberry & Mint Tea Scalp Treatment, 4 Ounces",https://www.amazon.com/Curls-Blueberry-Mint-Scalp-Treatment/dp/B007N53E08?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/611oAwB92IL._SY879_.jpg
9,"Curls Blueberry Bliss Twist-N-Shout Cream, 8 Ounces",https://www.amazon.com/Curls-Blueberry-Bliss-Twist-Shout/dp/B01MQDTR4E?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/517ANf8-MLL._SX679_.jpg
10,"Curls Blueberry & Coconut Hair Milk, 8 Ounces",https://www.amazon.com/Curls-Blueberry-Coconut-Hair-Milk/dp/B074FCYXN4?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/51diKaVerpL._SX679_.jpg
11,"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",https://www.amazon.com/Curls-Blueberry-Bliss-Reperative-Hair/dp/B01LWC700X?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/51ZbNVMZ9EL._SX679_.jpg
12,"Curls Blueberry Bliss Reparative Hair Wash, 8 Ounces and Reparative Leave In Conditioner, 8 Ounces",https://www.amazon.com/Curls-Blueberry-Bliss-Reparative-Conditioner/dp/B01NHBVDJP?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/61AB1Kv6pgL._SX679_.jpg
13,"Curls Blueberry Bliss Curl Control Jelly, 8 Ounces (Pack of 2)",https://www.amazon.com/Curls-Blueberry-Bliss-Control-Jelly/dp/B01BV3IBR8?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/61TOXLRFU9L._SX679_.jpg
14,"Curls Blueberry Bliss Reparative Leave In Conditioner, 8 Ounces (Pack of 2)",https://www.amazon.com/CURLS-Blueberry-Reparative-Leave-Conditioner/dp/B01M73ZNW0?ref_=ast_sto_dp,"https://m.media-amazon.com/images/I/61N3ZxkTJUL._AC_SX679_PIbundle-2,TopRight,0,0_SH20_.jpg"
15,"Curls Blueberry Bliss Curl Control Paste, 4 Ounces (Pack of 2)",https://www.amazon.com/Curls-Blueberry-Bliss-Control-Paste/dp/B00Q5JIU5C?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/61h26wwYuwL._SX679_.jpg
16,"Curls Blueberry Hair and Scalp Oil, 4 Ounces (Pack of 2)",https://www.amazon.com/Curls-Blueberry-Bliss-Growth-Ounces/dp/B01M4QDN12?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/61OX16bpl7L._SX679_.jpg
17,"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces (Pack of 2)",https://www.amazon.com/Curls-Blueberry-Bliss-Reparative-Ounce/dp/B01M4QDMAF?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/512ac2FOxcL._SX679_.jpg
18,"Curls Blueberry Liquid Hair Vitamin, 8 Ounces (Pack of 2)",https://www.amazon.com/Curls-Blissful-Lengths-Liquid-Vitamin/dp/B074G39W7P?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/61PbYkJhsAL._SX679_.jpg
