index,id,comments
Loveitorreadit21,e4m3d9,I shaved my head clean off for 3 years. I just took a razor and took it all off. Life was easier with all the hair completely off for a time. I mostly got hell from my family about my choice because I once had thick long curly hair but I was just so tired. I’m currently growing it back after all this time. Hair grows back. If you want to shave it off shave it off.
kendrokimed,e4m3d9,"Chopping my own hair?&&&Hey everyone!

I’ve been natural for about 6 years now. After a rough few years, my hair has definitely taken a beating and I just have the urge to chop it all off again. 

Thing is, money is incredibly tight so I won’t be able to have it professionally cut anytime soon. Has anyone cut their own hair? If so, what was your experience like?"
ooakrei,e4m3d9,I big chopped my own hair October...  I was nervous as heck standing there with those scissors in my hand but finally took the first cut and couldn't go back from there... When it was all said and done I liked my twa and felt much better !! As far as trimming I would do that through long stents of weave wearing and not going to the salon no problem...
boopalooo,e4ihvo,"Oooh I didn’t think to use a gel on lustrasilk! I used it it on its own and was underwhelmed with the results, gonna give this combo a try!"
jWoO4H,e4ihvo,Lustrasilk + Gel = perfect wash & go&&&
skeevangogh,e4ihvo,😍 love it!
jay_duhxx,e4ihjg,After 5 yrs of brutally bleaching my natural hair I am tryin to get back to this 😩&&&
PinkMelaunin,e4bgeh,"How often do most of ya'll trim (specifically 4 type hair)?&&&I just got a trim 2 months ago and I'm already seeing breakage. I thought it was about every 3 months to get trims but either I'm having strength issues or something; I really don't know what I'm doing wrong. 
I do protein treatments and deep conditioning. Especially b4 and after wearing my protective styles that I moisturize while installed. 
Anything helps, thanks."
gigi116,e4bgeh,"I don't have a specific timeline, I go by how my hair reacts and feels, which could be 2 or 3 times a year. I would take a second look at the products you use. Something may suit you better. Does your moisturizing routine make your hair feel great or that it's just being maintained, but should be better? Is your hair rubbing against shirt or sweater collars? Is it protected all night or does your scarf/wrap come off often? Do you get a lot of single strand knots? Just some questions to think about that may contribute to that breakage."
quality-bun,e44rgo,"Advice&&&So I washed, deep conditioned, and stretched my hair ready to do some BOMB mini twists just to open my jar of ASIAM double butter and...empty. My clown self forgot to order a new one 😭 so now I have my hair up in bands and I have no idea what to do with it for the 3-4 days until my new one arrives. I can’t wear it out because it’s snowing and I don’t want to wash it again so I don’t want to do a bunch of gel and stuff so uhhh if anyone has any ideas for a temporary protective style until I can do my mini twists ?"
trieditgum,e44kc8,To knot or not to knot?&&&On the fence about trying knotless box braids. They look flat but I have really thick hair so hopefully I will have some volume. Also afraid my roots will look old faster than with knots. What have been your experiences with knotless braids??
mentallyphysicallyok,e43kah,"Wait, are you Naptural85?"
npbm2008,e43kah,"Shortest wash routine ever in my life! ~90 minutes from dry to dry, including a short deep condition in the shower. Had to blow dry because I’m getting braids this afternoon.&&&&&&Well, that is the nicest hair compliment I’ve ever received! Her hair is gorgeous. Mine hits pretty good on a great day. :)"
montero19,e41nke,"I love this video, love your hair and don’t try to be like others. Let your hair be your hair, otherwise you’ll never know it’s true beauty.&&&&&&This video is by natural hair youtuber  chazzzisawesome her channel is really fun"
RohanMartin,e41g3z,Black owned Business over here!&&&[removed]
aliciasmind,e3xfpo,"These would be my holy grail brands:

Aunt Jackie's (very affordable, in Target and even Family Dollar)

As I Am (affordable, in Target)

Luxe Locks Curls (online, 45% off sale right now)
amille Rose (kind of pricier, in Target)

All Things O'Natural (online, very pricey but kind of worth it for the results it gives me, 30% off sale right now)

EDIT: I'm 4A/4B but these should work for 4C, I would think."
