index,id,comments
CramSlam19,n8ullj,"Best hair day I have had in months, and it's gonna rain tomorrow😭 routine in comments&&&&&&Routine:

Wash with Suave Cleansing Sulfate Free Shampoo Shea Butter and Coconut Oil
- massage all over scalp and roots with fingertips and then use shampoo brush to help clean any buildup out of my scalp/roots, rinse thoroughly and allow the shampoo to clean the ends as it rinses out

Condition with Suave Essentials Nourishing Tropical Coconut Conditioner
-apply most of it to my ends and spread the leftovers up my hair and begin to finger detangle, after it is tangle free I use a wide toothed comb to help finish distributing my conditioner evenly, add a small amount of water and squish to condish, let it sit in my hair for the rest of my shower and then rinse out completely with cool water

Before I get out of the shower, I will squeeze out some of the  excess water out of my hair so that it is still very wet but not dripping, then I take a quarter sized amount of Johnson's Kids detangling leave in conditioner and rake it through my hair and use my wet brush to make sure it is evenly distributed and do a little bit of squish to condish.

I usually go ahead and get dressed and put on lotion and everything and then use a spray bottle to replace any water that I lost during that time. Then I use about a quarter or half dollar sized amount of Aussie Instant Freeze Gel and glaze is all over and begin scrunching it into my hair, adding a little water and product as needed to fully coat my hair. 

I take a microfiber hair towel and micro plop some of the excess water out and then take about a golf ball sized amount of Pantene Curl Defining Mousse and lightly scrunch it into my hair bring careful not to be too rough and create too much frizz.

I will then pixie diffuse until my hair is about 80-90% dry and air dry to 100% then scrunch out the crunch and fluff my roots. 

Today I left the cast on a little longer than usual because there is no AC in my car and it helped keep it together through the windy ride.&&&I have medium/coarse, high density, normal porosity hair
And I can't figure out my curl type because there are about 4 different ones all over my head"
Honestly_ALie,n8tenq,Potential? Your hair looks adorable already. That one is just the star of the show. ⭐️
RegularDifficulty5,n8tenq,"Taunting me with potential 😂&&&&&&My routine: this is my day two hair! Scrunched with some mousse after prayer hands wetting it down. Air dried. 

routine: I wash with aveeno rosewater and chamomile blend shampoo, conditioner was tressemme botanique, then leave in was Bella curls coconut whip. Plopped after the shower, then used some Pantene mousse and LA looks gel.&&&Thank you so much 🤗🤗"
Fairylady33,n8s4gl,Do you think my hair would benefit from a denman brush?&&&
Internet-Just,n8pvuc,"Ikr, my hair never listens to me"
Snowstig,n8pvuc,I have a couple pieces like that too!  Rest of my head can have the most perfect 2b-c waves...then there are always those couple of pieces that do not want to cooperate!
littleprojects,n8pvuc,But seriously WHY?!?&&&&&&It’s so frustrating! I’d honestly be cool with less volume if it meant that my ends didn’t do this
SnootStrawberries007,n8of1f,my hair goals <3 \_\_ <3
Throwaway814111736,n8of1f,"Your hair looks gorgeous. Mine is a similar length but no where near as thick.

What is microplopping? Which mousse did you use and did you use conditoner or brush outside of the shower?"
Vgn1207,n8of1f,Omg how do you achieve such gorgeous waves without any frizz? My hair is also quite long but once I diffuse it the waves frizz :(
Wise_Date_5357,n8of1f,Amazing hair day! Also cute shirt day 😍
freckledatheart,n8of1f,"Your hair is gorgeous! Thank you for representing long hair wavies! I had posted here asking for advice on bring out existing waves in my multi textured 2b/2c/3a waist length hair, and everyone just told me to chop it off :/"
hairbear2324,n8of1f,"Good hair day for a type 2A!&&&&&&Brush hair before shower, use sulfate free shampoo, wash twice a week, and scrunch with mousse after showering. I believe I microplopped, diffused my hair till it was like 80% dry, then air dried the rest&&&The mousse helps a ton!!"
iridescent_felines,n8of1f,This is everything I want.
talks-like-juneee,n8of1f,Your waves are beautiful! My hair used to be this long but then I chopped it. So yes I have hair envy of you. Lol
Fairylady33,n8jh16,"How do I get rid of frizz😣, sorry for the bad picture quality&&&&&&I use live clean apple cider vinegar shampoo, and Aussie miracle wave conditioner once a week. To style I section my hair into 5 parts and make sure my hair is soaking wet, and apply herbal essence mousse and garnier fructis gel. I scrunch in the products one section at a time and finger roll some pieces. Then I diffuse."
WeAreStarless,n8jh16,what is your routine?
